Number,Frequency/Hz,impedance,R/Ohm,impedance,I/Ohm,Significance,Time/s,Voltage/V,Current/A
1,1.00E-01,3.98E+05,-8.93E+05,0.996,0,0,-1.80E-08,,
2,1.58E-01,2.72E+05,-6.40E+05,0.996,48.8,0,-3.19E-08,,
3,2.50E-01,1.88E+05,-4.59E+05,0.996,84.9,0,-3.98E-08,,
4,3.91E-01,1.33E+05,-3.28E+05,0.996,112.7,0,-4.69E-08,,
5,6.04E-01,9.57E+04,-2.35E+05,0.996,133.1,0,-3.38E-08,,
6,9.19E-01,7.11E+04,-1.70E+05,0.996,149.6,0,-3.51E-08,,
7,1.38E+00,5.44E+04,-1.23E+05,0.997,165,0,-3.49E-08,,
8,2.03E+00,4.31E+04,-9.08E+04,0.997,173.1,0,-3.45E-08,,
9,2.93E+00,3.53E+04,-6.77E+04,0.998,180.3,0,7.21E-09,,
10,4.17E+00,2.98E+04,-5.11E+04,0.998,186.3,0,-1.69E-09,,
11,5.84E+00,2.59E+04,-3.92E+04,0.998,191.4,0,2.39E-08,,
12,8.06E+00,2.29E+04,-3.04E+04,0.998,195.5,0,-1.98E-08,,
13,1.10E+01,2.07E+04,-2.39E+04,0.999,199.2,0,1.76E-09,,
14,1.47E+01,1.91E+04,-1.90E+04,0.999,202.5,0,-2.77E-10,,
15,1.95E+01,1.78E+04,-1.53E+04,0.999,205.6,0,4.72E-10,,
16,2.55E+01,1.68E+04,-1.24E+04,0.998,208.5,0,2.22E-09,,
17,3.31E+01,1.59E+04,-1.02E+04,1,211.2,0,1.24E-10,,
18,4.24E+01,1.53E+04,-8.46E+03,1,213.6,0,2.99E-10,,
19,5.39E+01,1.48E+04,-7.11E+03,1,216.2,0,-1.03E-09,,
20,6.79E+01,1.43E+04,-6.00E+03,0.999,218.3,0,1.48E-08,,
21,8.54E+01,1.39E+04,-5.02E+03,0.999,220,0,1.06E-08,,
22,1.07E+02,1.36E+04,-4.24E+03,1,221.5,0,6.66E-09,,
23,1.35E+02,1.33E+04,-3.62E+03,1,222.9,0,-5.37E-09,,
24,1.70E+02,1.31E+04,-3.07E+03,1,224.4,0,3.23E-09,,
25,2.13E+02,1.29E+04,-2.56E+03,1,225.8,0,9.20E-09,,
26,2.68E+02,1.27E+04,-2.14E+03,0.999,227.2,0,2.96E-10,,
27,3.37E+02,1.25E+04,-1.81E+03,0.999,228.8,0,-1.18E-09,,
28,4.24E+02,1.24E+04,-1.55E+03,1,230.2,0,1.84E-11,,
29,5.33E+02,1.23E+04,-1.28E+03,1,232,0,3.62E-10,,
30,6.70E+02,1.22E+04,-1.02E+03,0.999,233.8,0,3.42E-10,,
31,8.43E+02,1.21E+04,-8.94E+02,0.998,235.2,0,3.13E-10,,
