sep=,
File.......:  kcl_0.9765mm ac50mv dv0 100mhz-8mhz - MAY;24.2023
System.....:  Cal Device 0.9765mM
Potential..:  0.0V; Ampl: 50mV
Current....:  3.5906nA
Temperature:  0.2+-0.7C
Time.......:  10:10:54 - 10:17:55
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,5.4938e+05,-56.31,0.998,0.0
2,1.5849e-01,4.0084e+05,-55.66,0.998,47.9
3,2.5002e-01,2.9879e+05,-54.34,0.998,83.3
4,3.9094e-01,2.3001e+05,-53.88,0.998,110.5
5,6.0383e-01,1.7892e+05,-53.70,0.998,134.3
6,9.1901e-01,1.4024e+05,-53.99,0.997,149.9
7,1.3761e+00,1.1025e+05,-54.51,0.997,162.1
8,2.0259e+00,8.7188e+04,-55.08,0.998,169.8
9,2.9318e+00,6.9266e+04,-55.59,0.997,176.4
10,4.1726e+00,5.5353e+04,-55.91,0.997,181.6
11,5.8439e+00,4.4522e+04,-55.92,0.997,185.9
12,8.0607e+00,3.6067e+04,-55.53,0.997,189.3
13,1.0960e+01,2.9491e+04,-54.74,0.997,192.3
14,1.4705e+01,2.4364e+04,-53.48,0.997,194.9
15,1.9484e+01,2.0365e+04,-51.79,0.998,197.1
16,2.5518e+01,1.7245e+04,-49.66,0.997,199.1
17,3.3064e+01,1.4812e+04,-47.19,0.998,200.9
18,4.2416e+01,1.2895e+04,-44.41,0.999,202.5
19,5.3910e+01,1.1423e+04,-41.48,0.999,204.1
20,6.7930e+01,1.0229e+04,-38.37,0.999,205.7
21,8.5407e+01,9.2906e+03,-35.14,0.999,206.8
22,1.0738e+02,8.5453e+03,-31.82,0.999,207.3
23,1.3501e+02,7.9260e+03,-28.57,1.000,207.8
24,1.6974e+02,7.4223e+03,-25.49,1.000,208.2
25,2.1341e+02,7.0371e+03,-22.56,1.000,208.6
26,2.6832e+02,6.7152e+03,-19.86,1.000,209.1
27,3.3735e+02,6.4537e+03,-17.36,1.000,209.5
28,4.2415e+02,6.2538e+03,-15.20,0.999,209.9
29,5.3327e+02,6.0793e+03,-13.10,1.000,210.4
30,6.7047e+02,5.9423e+03,-11.33,1.000,210.9
31,8.4297e+02,5.8313e+03,-9.79,1.000,211.3
32,1.0599e+03,5.7417e+03,-8.26,1.000,211.7
33,1.3325e+03,5.6697e+03,-7.15,1.000,212.2
34,1.6754e+03,5.6093e+03,-6.07,1.000,212.6
35,2.1064e+03,5.5652e+03,-5.15,1.000,213.0
36,2.6483e+03,5.5272e+03,-4.45,0.999,213.5
37,3.3297e+03,5.4852e+03,-3.82,1.000,213.9
38,4.1864e+03,5.4697e+03,-3.30,1.000,214.3
39,5.2634e+03,5.4434e+03,-2.81,1.000,214.8
40,6.6176e+03,5.4259e+03,-2.39,1.000,215.2
41,8.3202e+03,5.4072e+03,-2.15,0.999,215.6
42,1.0461e+04,5.4019e+03,-1.95,1.000,216.1
43,1.3152e+04,5.3904e+03,-1.78,1.000,216.5
44,1.6536e+04,5.3920e+03,-1.64,1.000,216.9
45,2.0790e+04,5.3804e+03,-1.56,1.000,217.4
46,2.6139e+04,5.3795e+03,-1.65,1.000,217.8
47,3.2864e+04,5.3870e+03,-1.91,1.000,218.2
48,4.1320e+04,5.3800e+03,-2.05,0.999,218.7
49,5.1950e+04,5.3828e+03,-2.47,0.999,219.1
50,6.5316e+04,5.4013e+03,-2.87,1.000,219.5
51,8.2120e+04,5.4216e+03,-3.64,1.000,219.9
52,1.0325e+05,5.4475e+03,-4.40,1.000,220.4
53,1.2981e+05,5.4719e+03,-5.68,0.999,220.8
54,1.6321e+05,5.5021e+03,-7.46,0.999,221.2
55,2.0520e+05,5.5662e+03,-9.91,0.999,221.6
56,2.5799e+05,5.6519e+03,-12.82,0.999,222.1
57,3.2437e+05,5.7160e+03,-17.25,0.999,222.5
58,4.0783e+05,5.8486e+03,-23.18,0.997,222.9
59,5.1275e+05,5.7875e+03,-32.34,0.998,223.9
60,6.4467e+05,5.5461e+03,-43.74,0.997,225.4
61,8.1053e+05,4.8878e+03,-56.82,0.999,226.9
62,1.0191e+06,3.9223e+03,-68.92,0.999,228.4
63,1.2813e+06,2.9760e+03,-77.76,0.996,229.9
64,1.6109e+06,2.2189e+03,-83.42,0.997,231.6
65,2.0253e+06,1.7057e+03,-84.71,0.998,233.1
66,2.5464e+06,1.3132e+03,-86.33,0.999,234.5
67,3.2016e+06,1.0348e+03,-85.85,0.995,235.8
68,4.0253e+06,8.3633e+02,-86.83,0.999,236.8
69,5.0609e+06,7.0054e+02,-86.34,0.998,237.9
70,6.3629e+06,6.1982e+02,-88.68,0.997,239.3
71,8.0000e+06,5.6558e+02,-93.40,0.990,241.8
