sep=,
File.......:  kcl_0.9765mm ac50mv dv0 100mhz-8mhz - MAY;24.2023
System.....:  Cal Device 0.9765mM
Potential..:  0.0V; Ampl: 50mV
Current....:  -961.04pA
Temperature:  0.2+-0.7C
Time.......:  10:00:46 - 10:07:45
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,5.7762e+05,-53.10,0.998,0.0
2,1.5849e-01,4.3907e+05,-52.54,0.998,47.9
3,2.5002e-01,3.3698e+05,-52.05,0.998,83.3
4,3.9094e-01,2.6090e+05,-51.72,0.998,110.5
5,6.0383e-01,2.0386e+05,-51.57,0.997,130.2
6,9.1901e-01,1.6078e+05,-51.61,0.997,149.4
7,1.3761e+00,1.2762e+05,-51.82,0.997,161.6
8,2.0259e+00,1.0208e+05,-52.14,0.997,169.2
9,2.9318e+00,8.2246e+04,-52.48,0.996,175.8
10,4.1726e+00,6.6750e+04,-52.74,0.996,181.0
11,5.8439e+00,5.4535e+04,-52.86,0.996,185.3
12,8.0607e+00,4.4844e+04,-52.76,0.996,188.8
13,1.0960e+01,3.7158e+04,-52.43,0.996,191.7
14,1.4705e+01,3.1040e+04,-51.82,0.996,194.2
15,1.9484e+01,2.6148e+04,-50.90,0.997,196.5
16,2.5518e+01,2.2233e+04,-49.65,0.995,198.5
17,3.3064e+01,1.9092e+04,-48.07,0.997,200.3
18,4.2416e+01,1.6578e+04,-46.22,0.998,201.9
19,5.3910e+01,1.4506e+04,-44.08,0.998,203.5
20,6.7930e+01,1.2886e+04,-41.65,0.999,204.9
21,8.5407e+01,1.1547e+04,-39.11,0.999,205.7
22,1.0738e+02,1.0419e+04,-36.38,0.999,206.5
23,1.3501e+02,9.5149e+03,-33.41,0.999,207.2
24,1.6974e+02,8.7613e+03,-30.41,1.000,207.7
25,2.1341e+02,8.1597e+03,-27.40,0.999,208.1
26,2.6832e+02,7.6638e+03,-24.46,0.999,208.5
27,3.3735e+02,7.2594e+03,-21.71,1.000,208.9
28,4.2415e+02,6.9374e+03,-19.18,1.000,209.3
29,5.3327e+02,6.6689e+03,-16.87,1.000,209.9
30,6.7047e+02,6.4636e+03,-14.68,1.000,210.3
31,8.4297e+02,6.2987e+03,-12.60,1.000,210.7
32,1.0599e+03,6.1522e+03,-11.03,1.000,211.1
33,1.3325e+03,6.0320e+03,-9.43,1.000,211.6
34,1.6754e+03,5.9400e+03,-8.11,1.000,212.0
35,2.1064e+03,5.8720e+03,-6.92,1.000,212.4
36,2.6483e+03,5.8047e+03,-5.83,1.000,212.9
37,3.3297e+03,5.7657e+03,-4.99,1.000,213.3
38,4.1864e+03,5.7331e+03,-4.16,1.000,213.7
39,5.2634e+03,5.7050e+03,-3.54,1.000,214.2
40,6.6176e+03,5.6831e+03,-2.95,1.000,214.6
41,8.3202e+03,5.6639e+03,-2.69,0.999,215.0
42,1.0461e+04,5.6510e+03,-2.30,1.000,215.5
43,1.3152e+04,5.6321e+03,-2.12,1.000,215.9
44,1.6536e+04,5.6293e+03,-1.88,1.000,216.3
45,2.0790e+04,5.6183e+03,-1.99,0.999,216.8
46,2.6139e+04,5.6156e+03,-1.93,1.000,217.2
47,3.2864e+04,5.6223e+03,-2.08,0.999,217.6
48,4.1320e+04,5.6295e+03,-2.21,0.999,218.1
49,5.1950e+04,5.6187e+03,-2.52,0.999,218.5
50,6.5316e+04,5.6441e+03,-3.03,1.000,218.9
51,8.2120e+04,5.6602e+03,-3.84,1.000,219.4
52,1.0325e+05,5.6767e+03,-4.62,0.999,219.8
53,1.2981e+05,5.7152e+03,-5.98,1.000,220.2
54,1.6321e+05,5.7611e+03,-7.69,0.999,220.7
55,2.0520e+05,5.8288e+03,-10.10,0.999,221.1
56,2.5799e+05,5.9126e+03,-13.43,0.999,221.5
57,3.2437e+05,5.9787e+03,-17.69,0.999,221.9
58,4.0783e+05,6.0071e+03,-24.46,0.997,222.4
59,5.1275e+05,6.0183e+03,-33.44,0.999,223.4
60,6.4467e+05,5.7484e+03,-45.20,0.997,225.0
61,8.1053e+05,5.0344e+03,-58.15,0.999,226.5
62,1.0191e+06,4.0146e+03,-71.21,0.998,228.0
63,1.2813e+06,2.9969e+03,-79.07,0.996,229.5
64,1.6109e+06,2.2672e+03,-84.95,0.998,231.0
65,2.0253e+06,1.7106e+03,-85.67,0.998,232.5
66,2.5464e+06,1.3477e+03,-85.42,0.998,233.9
67,3.2016e+06,1.0270e+03,-87.28,0.999,235.3
68,4.0253e+06,8.4352e+02,-86.88,0.998,236.6
69,5.0609e+06,6.9441e+02,-86.33,0.999,237.9
70,6.3629e+06,5.8993e+02,-86.62,0.994,239.3
71,8.0000e+06,5.7382e+02,-92.60,0.995,240.9
