sep=,
File.......:  kcl_1000mm ac50mv dv0 100mhz-8mhz - MAY;24.2023
System.....:  Cal Device 1000mM
Potential..:  -0.0125V; Ampl: 50mV
Current....:  1.1946nA
Temperature:  0.3+-0.9C
Time.......:  12:01:27 - 12:07:52
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   59
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,3.1239e+05,-65.32,0.989,0.0
2,1.5849e-01,2.0842e+05,-67.85,0.995,47.9
3,2.5002e-01,9.1573e+04,-46.21,0.980,83.3
4,3.9094e-01,8.7478e+04,-64.27,0.991,110.5
5,6.0383e-01,6.9751e+04,-68.38,0.997,130.2
6,9.1901e-01,5.2974e+04,-71.07,0.997,145.9
7,1.3761e+00,3.9030e+04,-71.88,0.997,158.0
8,2.0259e+00,2.8839e+04,-72.56,0.997,165.7
9,2.9318e+00,2.1473e+04,-73.11,0.997,172.3
10,4.1726e+00,1.6164e+04,-73.61,0.997,177.5
11,5.8439e+00,1.2303e+04,-74.01,0.997,181.8
12,8.0607e+00,9.4249e+03,-74.32,0.997,185.9
13,1.0960e+01,7.2887e+03,-74.56,0.997,189.4
14,1.4705e+01,5.7069e+03,-74.81,0.997,192.0
15,1.9484e+01,4.5161e+03,-74.98,0.997,194.2
16,2.5518e+01,3.6042e+03,-75.08,0.997,196.2
17,3.3064e+01,2.8998e+03,-75.12,0.997,198.1
18,4.2416e+01,2.3524e+03,-75.10,0.997,199.7
19,5.3910e+01,1.9206e+03,-75.04,0.997,201.3
20,6.7930e+01,1.5687e+03,-74.85,0.997,202.6
21,8.5352e+01,1.2893e+03,-74.62,0.996,203.5
22,1.0724e+02,1.0404e+03,-74.18,0.997,204.2
23,1.3475e+02,8.6421e+02,-73.87,0.997,205.0
24,1.6930e+02,7.1633e+02,-73.46,0.998,205.4
25,2.1273e+02,5.9401e+02,-72.96,0.998,205.9
26,2.6728e+02,4.9285e+02,-72.35,0.997,206.3
27,3.3583e+02,4.0942e+02,-71.65,1.000,206.8
28,4.2196e+02,3.4063e+02,-70.85,0.997,207.2
29,5.3018e+02,2.8381e+02,-69.94,0.999,207.7
30,6.6616e+02,2.3697e+02,-68.94,0.997,208.1
31,8.3701e+02,1.9824e+02,-67.81,1.000,208.5
32,1.0517e+03,1.6617e+02,-66.54,0.999,209.0
33,1.3214e+03,1.3948e+02,-65.09,0.999,209.5
34,1.6603e+03,1.1749e+02,-63.45,0.997,209.9
35,2.0861e+03,9.9240e+01,-61.57,0.999,210.6
36,2.6211e+03,8.4193e+01,-59.37,0.998,211.3
37,3.2933e+03,7.1834e+01,-56.86,0.998,211.7
38,4.1380e+03,6.1719e+01,-54.00,0.999,212.2
39,5.1992e+03,5.3494e+01,-50.80,0.999,212.7
40,6.5327e+03,4.6840e+01,-47.31,1.000,213.1
41,8.2081e+03,4.1497e+01,-43.58,0.999,213.5
42,1.0313e+04,3.7241e+01,-39.71,1.000,214.0
43,1.2958e+04,3.3862e+01,-35.81,0.999,214.4
44,1.6282e+04,3.1189e+01,-31.96,1.000,214.9
45,2.0457e+04,2.9079e+01,-28.31,0.999,215.4
46,2.5704e+04,2.7410e+01,-24.89,1.000,215.8
47,3.2296e+04,2.6079e+01,-21.75,1.000,216.2
48,4.0579e+04,2.5016e+01,-18.89,1.000,216.7
49,5.0986e+04,2.4161e+01,-16.32,1.000,217.1
50,6.4063e+04,2.3471e+01,-14.01,1.000,217.5
51,8.0493e+04,2.2918e+01,-11.93,1.000,218.0
52,1.0114e+05,2.2477e+01,-10.08,1.000,218.4
53,1.2708e+05,2.2123e+01,-8.44,1.000,218.8
54,1.5967e+05,2.1845e+01,-6.99,1.000,219.3
55,2.0062e+05,2.1626e+01,-5.71,1.000,219.7
56,2.5207e+05,2.1473e+01,-4.51,1.000,220.2
57,3.1671e+05,2.1391e+01,-3.35,1.000,221.1
58,3.9794e+05,2.1307e+01,-2.39,1.000,222.3
59,5.0000e+05,2.1267e+01,-1.49,1.000,223.7
