Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.00E-01,3.81E+05,-51.02,0.999,0
2,1.58E-01,2.98E+05,-49.04,0.999,47.9
3,2.50E-01,2.35E+05,-47.03,0.999,83.2
4,3.91E-01,1.88E+05,-45.08,0.999,116.5
5,6.04E-01,1.53E+05,-43.2,0.999,136.2
6,9.19E-01,1.26E+05,-41.44,0.999,151.9
7,1.38E+00,1.05E+05,-39.84,0.999,164
8,2.03E+00,8.95E+04,-38.46,0.999,171.7
9,2.93E+00,7.70E+04,-37.29,0.999,178.3
10,4.17E+00,6.69E+04,-36.32,0.999,183.5
11,5.84E+00,5.88E+04,-35.56,0.999,187.7
12,8.06E+00,5.20E+04,-34.99,0.999,191.2
13,1.10E+01,4.63E+04,-34.58,0.999,194.2
14,1.47E+01,4.14E+04,-34.29,0.999,196.7
15,1.95E+01,3.72E+04,-34.02,0.999,198.9
16,2.55E+01,3.35E+04,-33.71,0.997,200.9
17,3.31E+01,3.03E+04,-33.24,1,202.7
18,4.24E+01,2.75E+04,-32.65,1,204.4
19,5.39E+01,2.50E+04,-32.08,1,205.9
20,6.79E+01,2.30E+04,-31.06,0.999,207.3
21,8.54E+01,2.11E+04,-30.06,0.998,208.1
22,1.07E+02,1.94E+04,-28.66,0.999,208.6
23,1.35E+02,1.80E+04,-26.96,1,209.1
24,1.70E+02,1.68E+04,-25.21,0.999,209.6
25,2.13E+02,1.57E+04,-23.48,0.999,210
26,2.68E+02,1.48E+04,-21.57,1,210.4
27,3.37E+02,1.41E+04,-19.58,1,210.8
28,4.24E+02,1.35E+04,-17.72,0.999,211.2
29,5.33E+02,1.29E+04,-15.88,1,211.7
30,6.70E+02,1.24E+04,-14.01,0.999,212.1
31,8.43E+02,1.20E+04,-12.56,0.999,212.8
32,1.06E+03,1.17E+04,-10.79,0.999,213.6
33,1.33E+03,1.15E+04,-9.27,1,214
34,1.68E+03,1.13E+04,-7.99,0.999,214.4
35,2.11E+03,1.12E+04,-6.78,0.999,214.9
36,2.65E+03,1.11E+04,-6.06,0.999,215.3
37,3.33E+03,1.10E+04,-4.97,1,215.7
38,4.19E+03,1.09E+04,-4.24,0.999,216.2
39,5.26E+03,1.09E+04,-3.62,0.999,216.6
40,6.62E+03,1.08E+04,-3.4,0.999,217
41,8.32E+03,1.08E+04,-2.96,1,217.5
42,1.05E+04,1.08E+04,-2.75,0.999,217.9
43,1.32E+04,1.07E+04,-2.87,0.999,218.3
44,1.65E+04,1.07E+04,-2.76,1,218.8
45,2.08E+04,1.07E+04,-2.98,1,219.2
46,2.61E+04,1.07E+04,-3.38,0.999,219.6
47,3.29E+04,1.07E+04,-3.61,0.999,220.1
48,4.13E+04,1.07E+04,-4.27,0.999,220.5
49,5.20E+04,1.07E+04,-5.34,0.998,220.9
50,6.53E+04,1.07E+04,-6.43,0.999,221.4
51,8.21E+04,1.07E+04,-8.08,0.999,221.8
52,1.03E+05,1.08E+04,-10.14,0.998,222.2
53,1.30E+05,1.08E+04,-12.44,0.999,222.6
54,1.63E+05,1.08E+04,-16.13,0.999,223.1
55,2.05E+05,1.09E+04,-21.19,0.997,223.5
56,2.58E+05,1.08E+04,-27.24,0.998,223.9
57,3.24E+05,1.06E+04,-35.49,0.998,224.4
58,4.08E+05,1.00E+04,-45.92,0.997,224.8
59,5.13E+05,9.04E+03,-58.89,0.997,225.7
60,6.45E+05,7.43E+03,-71.5,0.996,227.2
61,8.11E+05,5.70E+03,-82.49,0.998,228.8
62,1.02E+06,4.12E+03,-89.55,0.998,230.4
63,1.28E+06,3.00E+03,-93.35,0.998,231.9
64,1.61E+06,2.20E+03,-94.43,0.998,233.5
65,2.03E+06,1.66E+03,-94.99,0.999,235
66,2.55E+06,1.29E+03,-92.54,0.998,236.2
67,3.20E+06,1.11E+03,-91.26,0.987,237.3
68,4.03E+06,8.27E+02,-90.39,0.999,238.2
69,5.06E+06,6.68E+02,-88.31,0.997,239.4
70,6.36E+06,5.80E+02,-88.8,0.997,240.7
71,8.00E+06,5.58E+02,-94.82,0.993,242.2
