sep=,
File.......:  kcl_500mm ac50mv dv0 100mhz-8mhz - MAY;24.2023
System.....:  Cal Device 500mM
Potential..:  0.0V; Ampl: 50mV
Current....:  39.513nA
Temperature:  0.3+-0.8C
Time.......:  11:45:36 - 11:52:20
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.8560e+05,-47.89,0.988,0.0
2,1.5849e-01,1.6053e+05,-57.83,0.995,47.9
3,2.5002e-01,1.1950e+05,-61.89,0.994,83.3
4,3.9094e-01,8.6961e+04,-64.38,0.994,110.5
5,6.0383e-01,6.1986e+04,-66.08,0.994,130.2
6,9.1901e-01,4.4570e+04,-67.35,0.994,145.9
7,1.3761e+00,3.2345e+04,-68.51,0.994,158.0
8,2.0259e+00,2.4061e+04,-69.64,0.995,165.7
9,2.9318e+00,1.7930e+04,-70.43,0.995,172.3
10,4.1726e+00,1.3469e+04,-71.04,0.995,177.6
11,5.8439e+00,1.0471e+04,-71.82,0.995,182.4
12,8.0607e+00,8.2228e+03,-72.35,0.996,186.6
13,1.0960e+01,6.4485e+03,-72.72,0.996,189.6
14,1.4705e+01,5.0813e+03,-72.98,0.996,192.1
15,1.9484e+01,4.0374e+03,-73.17,0.996,194.3
16,2.5518e+01,3.2370e+03,-73.27,0.996,196.4
17,3.3064e+01,2.6162e+03,-73.31,0.996,198.2
18,4.2416e+01,2.1279e+03,-73.25,0.996,199.8
19,5.3910e+01,1.7449e+03,-73.15,0.996,201.4
20,6.7930e+01,1.4408e+03,-72.93,0.995,202.8
21,8.5407e+01,1.1921e+03,-72.64,0.995,203.6
22,1.0738e+02,9.8863e+02,-72.27,0.997,204.4
23,1.3501e+02,8.1914e+02,-71.77,0.997,205.1
24,1.6974e+02,6.7899e+02,-71.14,0.997,205.6
25,2.1341e+02,5.6371e+02,-70.37,0.997,206.0
26,2.6832e+02,4.6865e+02,-69.44,0.998,206.4
27,3.3735e+02,3.9042e+02,-68.35,0.998,206.9
28,4.2415e+02,3.2643e+02,-67.07,0.998,207.4
29,5.3327e+02,2.7424e+02,-65.61,0.999,207.8
30,6.7047e+02,2.3104e+02,-63.93,0.999,208.2
31,8.4297e+02,1.9533e+02,-62.00,0.999,208.6
32,1.0599e+03,1.6593e+02,-59.81,0.998,209.1
33,1.3325e+03,1.4179e+02,-57.37,0.998,209.6
34,1.6754e+03,1.2194e+02,-54.65,0.999,210.0
35,2.1064e+03,1.0571e+02,-51.70,0.999,210.7
36,2.6483e+03,9.2485e+01,-48.49,0.999,211.4
37,3.3297e+03,8.1715e+01,-45.08,1.000,211.8
38,4.1864e+03,7.2986e+01,-41.53,0.999,212.3
39,5.2634e+03,6.5968e+01,-37.92,1.000,212.8
40,6.6176e+03,6.0314e+01,-34.30,1.000,213.2
41,8.3202e+03,5.5767e+01,-30.77,0.999,213.6
42,1.0461e+04,5.2123e+01,-27.38,1.000,214.1
43,1.3152e+04,4.9191e+01,-24.19,1.000,214.5
44,1.6536e+04,4.6841e+01,-21.21,1.000,214.9
45,2.0790e+04,4.4936e+01,-18.50,1.000,215.4
46,2.6139e+04,4.3416e+01,-16.01,1.000,215.8
47,3.2864e+04,4.2192e+01,-13.78,1.000,216.2
48,4.1320e+04,4.1217e+01,-11.78,1.000,216.7
49,5.1950e+04,4.0443e+01,-10.01,1.000,217.1
50,6.5316e+04,3.9828e+01,-8.47,1.000,217.5
51,8.2120e+04,3.9347e+01,-7.12,1.000,218.0
52,1.0325e+05,3.8965e+01,-5.96,1.000,218.4
53,1.2981e+05,3.8660e+01,-4.96,1.000,218.8
54,1.6321e+05,3.8418e+01,-4.10,1.000,219.3
55,2.0520e+05,3.8236e+01,-3.36,1.000,219.7
56,2.5799e+05,3.8132e+01,-2.64,1.000,220.1
57,3.2437e+05,3.8104e+01,-1.98,1.000,220.7
58,4.0783e+05,3.8061e+01,-1.47,1.000,221.5
59,5.1275e+05,3.8061e+01,-1.05,1.000,222.9
60,6.4467e+05,3.8088e+01,-0.69,1.000,224.5
61,8.1053e+05,3.8149e+01,-0.44,1.000,226.1
62,1.0191e+06,3.8135e+01,0.04,1.000,227.8
63,1.2813e+06,3.8160e+01,0.53,1.000,229.5
64,1.6109e+06,3.8504e+01,0.96,1.000,231.2
65,2.0253e+06,3.9002e+01,1.39,0.999,232.9
66,2.5464e+06,3.9648e+01,1.82,1.000,234.5
67,3.2016e+06,4.0788e+01,1.66,1.000,236.1
68,4.0253e+06,4.2280e+01,1.58,0.999,237.7
69,5.0609e+06,4.4561e+01,0.64,0.999,239.3
70,6.3629e+06,4.7656e+01,-0.57,0.997,240.8
71,8.0000e+06,5.3942e+01,-2.78,0.989,242.5
