sep=,
File.......:  kcl_62.5mm ac50mv dv0 100mhz-8mhz - MAY;24.2023
System.....:  Cal Device 62.5mM
Potential..:  0.0V; Ampl: 50mV
Current....:  117.39pA
Temperature:  0.2+-0.8C
Time.......:  11:16:47 - 11:23:48
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,5.3501e+05,-62.88,0.998,0.0
2,1.5849e-01,3.8811e+05,-63.68,0.998,47.9
3,2.5002e-01,2.8094e+05,-64.37,0.997,83.3
4,3.9094e-01,2.0427e+05,-65.29,0.997,110.5
5,6.0383e-01,1.4955e+05,-66.23,0.997,134.3
6,9.1901e-01,1.0983e+05,-67.23,0.996,149.9
7,1.3761e+00,8.1028e+04,-68.25,0.997,162.1
8,2.0259e+00,6.0275e+04,-69.27,0.997,169.8
9,2.9318e+00,4.5198e+04,-70.19,0.997,176.4
10,4.1726e+00,3.4200e+04,-70.99,0.997,181.6
11,5.8439e+00,2.6120e+04,-71.66,0.997,185.8
12,8.0607e+00,2.0133e+04,-72.16,0.997,189.3
13,1.0960e+01,1.5666e+04,-72.56,0.997,192.3
14,1.4705e+01,1.2308e+04,-72.83,0.997,194.9
15,1.9484e+01,9.7492e+03,-72.96,0.997,197.6
16,2.5518e+01,7.7935e+03,-72.95,0.997,200.2
17,3.3064e+01,6.2818e+03,-72.79,0.997,202.0
18,4.2416e+01,5.1076e+03,-72.50,0.997,203.7
19,5.3910e+01,4.1823e+03,-72.01,0.997,205.2
20,6.7930e+01,3.4540e+03,-71.43,0.997,206.6
21,8.5407e+01,2.8586e+03,-70.61,0.997,207.4
22,1.0738e+02,2.3696e+03,-69.59,0.997,207.9
23,1.3501e+02,1.9680e+03,-68.32,0.997,208.4
24,1.6974e+02,1.6387e+03,-66.78,0.997,208.9
25,2.1341e+02,1.3694e+03,-64.92,0.997,209.3
26,2.6832e+02,1.1519e+03,-62.80,1.000,210.0
27,3.3735e+02,9.7276e+02,-60.30,0.999,210.7
28,4.2415e+02,8.2739e+02,-57.47,0.998,211.1
29,5.3327e+02,7.0996e+02,-54.27,1.000,211.6
30,6.7047e+02,6.1560e+02,-50.78,0.999,212.1
31,8.4297e+02,5.3990e+02,-47.05,0.999,212.5
32,1.0599e+03,4.7963e+02,-43.14,0.999,212.9
33,1.3325e+03,4.3179e+02,-39.19,1.000,213.4
34,1.6754e+03,3.9396e+02,-35.28,0.999,213.8
35,2.1064e+03,3.6396e+02,-31.52,0.999,214.3
36,2.6483e+03,3.4001e+02,-27.97,1.000,214.8
37,3.3297e+03,3.2091e+02,-24.68,1.000,215.2
38,4.1864e+03,3.0544e+02,-21.66,1.000,215.6
39,5.2634e+03,2.9293e+02,-18.90,1.000,216.1
40,6.6176e+03,2.8276e+02,-16.42,1.000,216.5
41,8.3202e+03,2.7456e+02,-14.17,1.000,216.9
42,1.0461e+04,2.6792e+02,-12.16,1.000,217.3
43,1.3152e+04,2.6261e+02,-10.38,1.000,217.8
44,1.6536e+04,2.5843e+02,-8.80,1.000,218.2
45,2.0790e+04,2.5507e+02,-7.43,1.000,218.7
46,2.6139e+04,2.5245e+02,-6.27,1.000,219.1
47,3.2864e+04,2.5046e+02,-5.25,1.000,219.5
48,4.1320e+04,2.4893e+02,-4.40,1.000,219.9
49,5.1950e+04,2.4764e+02,-3.69,1.000,220.4
50,6.5316e+04,2.4664e+02,-3.09,1.000,220.8
51,8.2120e+04,2.4593e+02,-2.60,1.000,221.2
52,1.0325e+05,2.4528e+02,-2.22,1.000,221.7
53,1.2981e+05,2.4486e+02,-1.90,1.000,222.1
54,1.6321e+05,2.4462e+02,-1.64,1.000,222.5
55,2.0520e+05,2.4446e+02,-1.48,1.000,222.9
56,2.5799e+05,2.4479e+02,-1.31,1.000,223.4
57,3.2437e+05,2.4551e+02,-1.14,1.000,223.8
58,4.0783e+05,2.4622e+02,-1.16,1.000,224.2
59,5.1275e+05,2.4736e+02,-1.38,1.000,225.2
60,6.4467e+05,2.4876e+02,-1.73,1.000,226.7
61,8.1053e+05,2.5081e+02,-2.33,1.000,228.2
62,1.0191e+06,2.5226e+02,-3.07,1.000,229.7
63,1.2813e+06,2.5384e+02,-4.17,1.000,231.2
64,1.6109e+06,2.5608e+02,-5.84,1.000,232.5
65,2.0253e+06,2.5975e+02,-7.78,0.999,234.0
66,2.5464e+06,2.6222e+02,-10.76,0.999,235.4
67,3.2016e+06,2.6553e+02,-14.98,1.000,236.7
68,4.0253e+06,2.6562e+02,-19.63,0.999,238.0
69,5.0609e+06,2.6447e+02,-24.71,0.999,239.4
70,6.3629e+06,2.6679e+02,-29.32,0.999,240.9
71,8.0000e+06,2.8285e+02,-33.88,0.999,242.6
