sep=,
File.......:  kcl_6mm ac50mv dv0 100mhz-8mhz - MAY;24.2023
System.....:  Cal Device 6mM
Potential..:  0.0V; Ampl: 50mV
Current....:  -837.12pA
Temperature:  0.4+-1.0C
Time.......:  10:39:54 - 10:46:55
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,6.0354e+05,-61.72,0.998,0.0
2,1.5849e-01,4.3623e+05,-62.16,0.998,47.9
3,2.5002e-01,3.1689e+05,-62.60,0.998,83.3
4,3.9094e-01,2.3114e+05,-63.23,0.998,110.5
5,6.0383e-01,1.7017e+05,-63.87,0.997,134.3
6,9.1901e-01,1.2597e+05,-64.54,0.997,149.9
7,1.3761e+00,9.3850e+04,-65.18,0.997,162.1
8,2.0259e+00,7.0617e+04,-65.74,0.997,169.8
9,2.9318e+00,5.3563e+04,-66.11,0.997,176.4
10,4.1726e+00,4.1024e+04,-66.23,0.997,181.6
11,5.8439e+00,3.1738e+04,-66.03,0.997,185.8
12,8.0607e+00,2.4815e+04,-65.47,0.997,189.3
13,1.0960e+01,1.9625e+04,-64.56,0.997,192.3
14,1.4705e+01,1.5707e+04,-63.27,0.997,194.9
15,1.9484e+01,1.2735e+04,-61.54,0.998,197.1
16,2.5518e+01,1.0448e+04,-59.39,0.998,199.6
17,3.3064e+01,8.7020e+03,-56.83,0.998,202.0
18,4.2416e+01,7.3612e+03,-53.89,0.998,203.7
19,5.3910e+01,6.3177e+03,-50.64,0.998,205.2
20,6.7930e+01,5.5193e+03,-47.23,0.999,206.5
21,8.5407e+01,4.8852e+03,-43.50,0.999,207.3
22,1.0738e+02,4.3835e+03,-39.67,0.999,207.9
23,1.3501e+02,3.9797e+03,-35.72,0.999,208.4
24,1.6974e+02,3.6655e+03,-31.99,0.999,208.8
25,2.1341e+02,3.4185e+03,-28.36,0.999,209.2
26,2.6832e+02,3.2189e+03,-24.97,1.000,209.7
27,3.3735e+02,3.0621e+03,-21.82,0.999,210.1
28,4.2415e+02,2.9389e+03,-18.96,1.000,210.5
29,5.3327e+02,2.8358e+03,-16.39,1.000,211.0
30,6.7047e+02,2.7585e+03,-14.09,1.000,211.4
31,8.4297e+02,2.6956e+03,-12.11,1.000,211.8
32,1.0599e+03,2.6449e+03,-10.29,1.000,212.3
33,1.3325e+03,2.6021e+03,-8.73,1.000,212.7
34,1.6754e+03,2.5712e+03,-7.40,1.000,213.1
35,2.1064e+03,2.5439e+03,-6.28,1.000,213.5
36,2.6483e+03,2.5225e+03,-5.30,1.000,214.0
37,3.3297e+03,2.5050e+03,-4.49,1.000,214.4
38,4.1864e+03,2.4910e+03,-3.80,1.000,214.8
39,5.2634e+03,2.4801e+03,-3.23,1.000,215.3
40,6.6176e+03,2.4711e+03,-2.75,1.000,215.7
41,8.3202e+03,2.4621e+03,-2.31,1.000,216.1
42,1.0461e+04,2.4552e+03,-1.96,1.000,216.6
43,1.3152e+04,2.4507e+03,-1.67,1.000,217.0
44,1.6536e+04,2.4464e+03,-1.39,1.000,217.4
45,2.0790e+04,2.4442e+03,-1.23,1.000,217.9
46,2.6139e+04,2.4438e+03,-1.02,1.000,218.3
47,3.2864e+04,2.4439e+03,-0.95,1.000,218.7
48,4.1320e+04,2.4447e+03,-0.96,1.000,219.2
49,5.1950e+04,2.4453e+03,-0.94,0.999,219.6
50,6.5316e+04,2.4506e+03,-0.98,1.000,220.0
51,8.2120e+04,2.4570e+03,-1.17,1.000,220.5
52,1.0325e+05,2.4701e+03,-1.32,1.000,220.9
53,1.2981e+05,2.4843e+03,-1.88,1.000,221.3
54,1.6321e+05,2.5052e+03,-2.50,1.000,221.8
55,2.0520e+05,2.5264e+03,-3.63,0.999,222.2
56,2.5799e+05,2.5608e+03,-4.69,0.999,222.6
57,3.2437e+05,2.6012e+03,-6.53,1.000,223.1
58,4.0783e+05,2.6464e+03,-9.17,0.999,224.0
59,5.1275e+05,2.7121e+03,-13.01,1.000,225.4
60,6.4467e+05,2.7615e+03,-18.61,0.997,227.0
61,8.1053e+05,2.7844e+03,-26.94,0.999,228.5
62,1.0191e+06,2.6517e+03,-37.41,0.999,230.0
63,1.2813e+06,2.3746e+03,-48.69,0.997,231.6
64,1.6109e+06,1.9890e+03,-58.93,0.999,233.2
65,2.0253e+06,1.6082e+03,-65.54,0.997,234.7
66,2.5464e+06,1.3080e+03,-71.65,0.998,236.1
67,3.2016e+06,1.0120e+03,-76.41,0.999,237.3
68,4.0253e+06,8.2590e+02,-78.88,0.997,238.8
69,5.0609e+06,7.2494e+02,-76.48,0.998,240.7
70,6.3629e+06,7.0540e+02,-77.90,0.984,242.5
71,8.0000e+06,6.2039e+02,-85.24,0.997,243.5
