sep=,
File.......:  kcl_7.8125mm ac50mv dv0 100mhz-8mhz - MAY;24.2023
System.....:  Cal Device 7.8125mM
Potential..:  0.0V; Ampl: 50mV
Current....:  -3.4673nA
Temperature:  0.3+-0.9C
Time.......:  10:48:48 - 10:55:51
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,5.4425e+05,-62.48,0.999,0.0
2,1.5849e-01,3.9553e+05,-62.69,0.998,47.9
3,2.5002e-01,2.8817e+05,-62.97,0.998,83.3
4,3.9094e-01,2.1054e+05,-63.34,0.998,110.5
5,6.0383e-01,1.5471e+05,-63.81,0.997,134.3
6,9.1901e-01,1.1486e+05,-64.41,0.997,149.9
7,1.3761e+00,8.5312e+04,-64.98,0.997,162.1
8,2.0259e+00,6.4125e+04,-65.59,0.996,169.8
9,2.9318e+00,4.8820e+04,-66.09,0.996,176.4
10,4.1726e+00,3.7473e+04,-66.41,0.996,181.6
11,5.8439e+00,2.9031e+04,-66.49,0.997,185.8
12,8.0607e+00,2.2707e+04,-66.26,0.996,189.3
13,1.0960e+01,1.7949e+04,-65.76,0.997,192.3
14,1.4705e+01,1.4346e+04,-64.96,0.997,194.9
15,1.9484e+01,1.1598e+04,-63.82,0.997,197.1
16,2.5518e+01,9.4666e+03,-62.35,0.997,199.6
17,3.3064e+01,7.8273e+03,-60.55,0.997,202.0
18,4.2416e+01,6.5510e+03,-58.46,0.997,203.7
19,5.3910e+01,5.5556e+03,-55.99,0.998,205.2
20,6.7930e+01,4.7684e+03,-53.34,0.998,206.5
21,8.5407e+01,4.1306e+03,-50.33,0.998,207.4
22,1.0738e+02,3.6177e+03,-47.04,0.998,207.9
23,1.3501e+02,3.2024e+03,-43.45,0.999,208.4
24,1.6974e+02,2.8689e+03,-39.75,0.999,208.8
25,2.1341e+02,2.6056e+03,-35.99,0.999,209.3
26,2.6832e+02,2.3962e+03,-32.21,1.000,209.7
27,3.3735e+02,2.2291e+03,-28.61,1.000,210.1
28,4.2415e+02,2.0988e+03,-25.22,1.000,210.5
29,5.3327e+02,1.9944e+03,-22.12,1.000,211.0
30,6.7047e+02,1.9100e+03,-19.24,1.000,211.5
31,8.4297e+02,1.8419e+03,-16.63,1.000,211.9
32,1.0599e+03,1.7894e+03,-14.27,1.000,212.3
33,1.3325e+03,1.7467e+03,-12.21,1.000,212.8
34,1.6754e+03,1.7124e+03,-10.45,1.000,213.2
35,2.1064e+03,1.6851e+03,-8.89,1.000,213.6
36,2.6483e+03,1.6619e+03,-7.44,1.000,214.1
37,3.3297e+03,1.6440e+03,-6.24,1.000,214.5
38,4.1864e+03,1.6296e+03,-5.24,1.000,214.9
39,5.2634e+03,1.6174e+03,-4.40,1.000,215.4
40,6.6176e+03,1.6077e+03,-3.70,1.000,215.8
41,8.3202e+03,1.5995e+03,-3.07,1.000,216.2
42,1.0461e+04,1.5922e+03,-2.57,1.000,216.7
43,1.3152e+04,1.5873e+03,-2.13,1.000,217.1
44,1.6536e+04,1.5829e+03,-1.73,1.000,217.5
45,2.0790e+04,1.5806e+03,-1.46,1.000,218.0
46,2.6139e+04,1.5782e+03,-1.20,1.000,218.4
47,3.2864e+04,1.5770e+03,-0.95,1.000,218.8
48,4.1320e+04,1.5767e+03,-0.80,1.000,219.3
49,5.1950e+04,1.5782e+03,-0.65,1.000,219.7
50,6.5316e+04,1.5806e+03,-0.59,1.000,220.1
51,8.2120e+04,1.5843e+03,-0.56,1.000,220.6
52,1.0325e+05,1.5902e+03,-0.75,1.000,221.0
53,1.2981e+05,1.5992e+03,-0.84,1.000,221.4
54,1.6321e+05,1.6106e+03,-1.33,1.000,221.8
55,2.0520e+05,1.6255e+03,-1.79,0.999,222.4
56,2.5799e+05,1.6419e+03,-2.60,1.000,223.2
57,3.2437e+05,1.6636e+03,-3.72,1.000,224.4
58,4.0783e+05,1.6879e+03,-5.39,0.999,225.5
59,5.1275e+05,1.7174e+03,-7.90,1.000,226.9
60,6.4467e+05,1.7589e+03,-11.29,0.998,228.5
61,8.1053e+05,1.7861e+03,-15.94,0.998,230.0
62,1.0191e+06,1.7821e+03,-23.52,1.000,231.6
63,1.2813e+06,1.7157e+03,-32.12,0.997,233.2
64,1.6109e+06,1.5715e+03,-42.05,0.998,234.8
65,2.0253e+06,1.3690e+03,-51.11,0.998,236.3
66,2.5464e+06,1.1601e+03,-58.05,0.999,237.7
67,3.2016e+06,9.6949e+02,-64.57,0.999,239.1
68,4.0253e+06,7.9296e+02,-68.92,0.999,240.6
69,5.0609e+06,6.6672e+02,-72.45,0.999,242.1
70,6.3629e+06,5.9124e+02,-77.30,0.997,243.4
71,8.0000e+06,5.5777e+02,-81.21,0.997,245.0
