sep=,
File.......:  kcl_1.953mm ac50mv dv0 100mhz-8mhz - MAY;11.2023
System.....:  KCl_1.953
Potential..:  0.0V; Ampl: 50mV
Current....:  -2.9335nA
Temperature:  0.3+-0.9C
Time.......:  11:28:40 - 11:35:25
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.2649e+05,-77.11,0.999,0.0
2,1.5849e-01,8.4830e+04,-77.27,0.999,47.9
3,2.5002e-01,5.7104e+04,-77.12,0.999,83.3
4,3.9094e-01,3.8762e+04,-76.68,0.999,110.4
5,6.0383e-01,2.6645e+04,-75.93,0.998,130.2
6,9.1901e-01,1.8580e+04,-74.87,0.998,145.9
7,1.3761e+00,1.3155e+04,-73.43,0.999,160.6
8,2.0259e+00,9.4996e+03,-71.60,1.000,168.4
9,2.9318e+00,7.0012e+03,-69.19,1.000,174.9
10,4.1726e+00,5.2744e+03,-66.20,1.000,180.1
11,5.8439e+00,4.0689e+03,-62.61,1.000,184.4
12,8.0607e+00,3.2197e+03,-58.44,1.000,187.9
13,1.0960e+01,2.6186e+03,-53.81,1.000,190.8
14,1.4705e+01,2.1901e+03,-48.88,1.000,193.3
15,1.9484e+01,1.8831e+03,-43.83,1.000,195.6
16,2.5518e+01,1.6618e+03,-38.84,1.000,197.6
17,3.3064e+01,1.5015e+03,-34.09,1.000,199.4
18,4.2416e+01,1.3843e+03,-29.71,1.000,201.0
19,5.3910e+01,1.2982e+03,-25.73,1.000,202.6
20,6.7930e+01,1.2341e+03,-22.24,1.000,203.9
21,8.5407e+01,1.1847e+03,-19.08,1.000,204.7
22,1.0738e+02,1.1466e+03,-16.28,1.000,205.2
23,1.3501e+02,1.1171e+03,-13.80,1.000,205.7
24,1.6974e+02,1.0948e+03,-11.66,1.000,206.4
25,2.1341e+02,1.0769e+03,-9.81,1.000,207.0
26,2.6832e+02,1.0628e+03,-8.22,1.000,207.5
27,3.3735e+02,1.0520e+03,-6.87,1.000,208.0
28,4.2415e+02,1.0436e+03,-5.73,1.000,208.4
29,5.3327e+02,1.0369e+03,-4.77,1.000,208.8
30,6.7047e+02,1.0316e+03,-3.96,1.000,209.2
31,8.4297e+02,1.0274e+03,-3.30,1.000,209.6
32,1.0599e+03,1.0240e+03,-2.74,1.000,210.1
33,1.3325e+03,1.0214e+03,-2.28,1.000,210.5
34,1.6754e+03,1.0192e+03,-1.90,1.000,210.9
35,2.1064e+03,1.0174e+03,-1.58,1.000,211.4
36,2.6483e+03,1.0160e+03,-1.33,1.000,211.8
37,3.3297e+03,1.0150e+03,-1.12,1.000,212.2
38,4.1864e+03,1.0139e+03,-0.94,1.000,212.6
39,5.2634e+03,1.0131e+03,-0.81,1.000,213.1
40,6.6176e+03,1.0124e+03,-0.71,1.000,213.5
41,8.3202e+03,1.0121e+03,-0.64,1.000,213.9
42,1.0461e+04,1.0115e+03,-0.57,1.000,214.4
43,1.3152e+04,1.0113e+03,-0.54,1.000,214.8
44,1.6536e+04,1.0105e+03,-0.53,1.000,215.2
45,2.0790e+04,1.0099e+03,-0.53,1.000,215.7
46,2.6139e+04,1.0108e+03,-0.58,1.000,216.1
47,3.2864e+04,1.0114e+03,-0.69,1.000,216.5
48,4.1320e+04,1.0119e+03,-0.70,1.000,216.9
49,5.1950e+04,1.0105e+03,-0.86,1.000,217.4
50,6.5316e+04,1.0098e+03,-1.04,1.000,217.8
51,8.2120e+04,1.0104e+03,-1.29,1.000,218.2
52,1.0325e+05,1.0114e+03,-1.57,1.000,218.6
53,1.2981e+05,1.0120e+03,-1.93,1.000,219.1
54,1.6321e+05,1.0134e+03,-2.40,1.000,219.5
55,2.0520e+05,1.0153e+03,-3.16,0.999,219.9
56,2.5799e+05,1.0201e+03,-3.90,1.000,220.3
57,3.2437e+05,1.0271e+03,-4.80,1.000,220.8
58,4.0783e+05,1.0340e+03,-6.33,0.999,221.2
59,5.1275e+05,1.0449e+03,-8.49,1.000,222.1
60,6.4467e+05,1.0561e+03,-11.55,1.000,223.6
61,8.1053e+05,1.0646e+03,-15.81,1.000,225.2
62,1.0191e+06,1.0574e+03,-21.27,0.999,226.7
63,1.2813e+06,1.0223e+03,-28.37,0.998,228.1
64,1.6109e+06,9.6243e+02,-36.31,0.999,229.5
65,2.0253e+06,8.5928e+02,-43.86,0.998,230.8
66,2.5464e+06,7.6067e+02,-51.96,0.999,232.0
67,3.2016e+06,6.4655e+02,-58.48,0.998,233.2
68,4.0253e+06,5.4038e+02,-62.45,1.000,234.5
69,5.0609e+06,4.6047e+02,-66.39,0.999,235.9
70,6.3629e+06,4.0032e+02,-69.10,0.999,237.5
71,8.0000e+06,3.8600e+02,-71.80,0.999,239.1
