sep=,
File.......:  kcl_2mm ac50mv dv0 100mhz-8mhz - MAY;18.2023
System.....:  2 KCl
Potential..:  0.0V; Ampl: 50mV
Current....:  -3.6457nA
Temperature:  0.2+-0.8C
Time.......:  09:51:55 - 09:58:37
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.3184e+05,-76.05,0.999,0.0
2,1.5849e-01,8.8736e+04,-75.90,0.999,47.9
3,2.5002e-01,6.0098e+04,-75.36,0.999,83.3
4,3.9094e-01,4.1124e+04,-74.45,0.999,110.4
5,6.0383e-01,2.8560e+04,-73.17,0.999,130.2
6,9.1901e-01,2.0172e+04,-71.52,0.998,145.9
7,1.3761e+00,1.4504e+04,-69.46,0.998,160.6
8,2.0259e+00,1.0667e+04,-67.00,0.999,168.3
9,2.9318e+00,8.0274e+03,-63.99,0.999,174.9
10,4.1726e+00,6.1902e+03,-60.46,0.999,180.1
11,5.8439e+00,4.8995e+03,-56.43,0.999,184.3
12,8.0607e+00,3.9835e+03,-51.99,0.999,187.9
13,1.0960e+01,3.3308e+03,-47.29,0.999,190.8
14,1.4705e+01,2.8619e+03,-42.50,0.999,193.3
15,1.9484e+01,2.5226e+03,-37.80,1.000,195.5
16,2.5518e+01,2.2747e+03,-33.34,1.000,197.5
17,3.3064e+01,2.0917e+03,-29.21,1.000,199.4
18,4.2416e+01,1.9551e+03,-25.47,1.000,201.0
19,5.3910e+01,1.8520e+03,-22.17,1.000,202.6
20,6.7930e+01,1.7734e+03,-19.22,1.000,203.9
21,8.5407e+01,1.7120e+03,-16.59,1.000,204.7
22,1.0738e+02,1.6626e+03,-14.23,1.000,205.2
23,1.3501e+02,1.6246e+03,-12.11,1.000,205.7
24,1.6974e+02,1.5942e+03,-10.29,1.000,206.1
25,2.1341e+02,1.5706e+03,-8.72,1.000,206.5
26,2.6832e+02,1.5512e+03,-7.32,1.000,206.9
27,3.3735e+02,1.5353e+03,-6.17,1.000,207.4
28,4.2415e+02,1.5240e+03,-5.18,1.000,207.8
29,5.3327e+02,1.5139e+03,-4.33,1.000,208.2
30,6.7047e+02,1.5074e+03,-3.64,1.000,208.6
31,8.4297e+02,1.5015e+03,-3.05,1.000,209.1
32,1.0599e+03,1.4954e+03,-2.57,1.000,209.5
33,1.3325e+03,1.4917e+03,-2.11,1.000,209.9
34,1.6754e+03,1.4881e+03,-1.78,1.000,210.3
35,2.1064e+03,1.4858e+03,-1.47,1.000,210.8
36,2.6483e+03,1.4836e+03,-1.24,1.000,211.2
37,3.3297e+03,1.4816e+03,-1.03,1.000,211.6
38,4.1864e+03,1.4799e+03,-0.88,1.000,212.0
39,5.2634e+03,1.4788e+03,-0.75,1.000,212.5
40,6.6176e+03,1.4784e+03,-0.61,1.000,212.9
41,8.3202e+03,1.4768e+03,-0.53,1.000,213.3
42,1.0461e+04,1.4763e+03,-0.47,1.000,213.8
43,1.3152e+04,1.4762e+03,-0.40,1.000,214.2
44,1.6536e+04,1.4758e+03,-0.34,1.000,214.6
45,2.0790e+04,1.4758e+03,-0.32,1.000,215.1
46,2.6139e+04,1.4760e+03,-0.33,1.000,215.5
47,3.2864e+04,1.4779e+03,-0.33,1.000,215.9
48,4.1320e+04,1.4784e+03,-0.34,1.000,216.3
49,5.1950e+04,1.4814e+03,-0.40,1.000,216.8
50,6.5316e+04,1.4847e+03,-0.49,1.000,217.2
51,8.2120e+04,1.4898e+03,-0.73,1.000,217.6
52,1.0325e+05,1.4972e+03,-1.03,1.000,218.0
53,1.2981e+05,1.5055e+03,-1.54,1.000,218.5
54,1.6321e+05,1.5151e+03,-2.26,1.000,218.9
55,2.0520e+05,1.5299e+03,-3.19,1.000,219.4
56,2.5799e+05,1.5447e+03,-4.44,1.000,220.3
57,3.2437e+05,1.5662e+03,-6.17,1.000,221.4
58,4.0783e+05,1.5815e+03,-8.58,0.999,222.6
59,5.1275e+05,1.6028e+03,-11.92,1.000,223.9
60,6.4467e+05,1.6261e+03,-16.81,1.000,225.5
61,8.1053e+05,1.6207e+03,-23.20,1.000,227.2
62,1.0191e+06,1.5753e+03,-31.61,0.999,228.8
63,1.2813e+06,1.4516e+03,-40.76,0.999,230.4
64,1.6109e+06,1.2800e+03,-50.47,0.999,232.0
65,2.0253e+06,1.0661e+03,-57.76,0.997,233.4
66,2.5464e+06,9.3526e+02,-60.83,0.996,234.6
67,3.2016e+06,7.2656e+02,-70.21,0.999,235.5
68,4.0253e+06,6.1093e+02,-76.38,0.997,236.6
69,5.0609e+06,5.0256e+02,-76.92,0.999,237.9
70,6.3629e+06,4.1442e+02,-84.63,0.996,239.3
71,8.0000e+06,3.9850e+02,-86.87,0.994,240.7
