sep=,
File.......:  kcl_3mm ac50mv dv0 100mhz-8mhz - MAY;18.2023
System.....:  3 KCl
Potential..:  0.0V; Ampl: 50mV
Current....:  569.8pA
Temperature:  0.2+-0.7C
Time.......:  10:02:26 - 10:09:06
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.2919e+05,-76.75,0.998,0.0
2,1.5849e-01,8.6648e+04,-76.69,0.998,47.9
3,2.5002e-01,5.8515e+04,-76.28,0.999,83.3
4,3.9094e-01,3.9908e+04,-75.61,0.999,110.4
5,6.0383e-01,2.7610e+04,-74.66,0.998,130.2
6,9.1901e-01,1.9405e+04,-73.46,0.998,145.9
7,1.3761e+00,1.3860e+04,-72.00,0.998,160.6
8,2.0259e+00,1.0102e+04,-70.27,1.000,168.3
9,2.9318e+00,7.5126e+03,-68.13,1.000,174.9
10,4.1726e+00,5.7028e+03,-65.58,1.000,180.1
11,5.8439e+00,4.4225e+03,-62.60,1.000,184.3
12,8.0607e+00,3.5055e+03,-59.17,1.000,187.9
13,1.0960e+01,2.8443e+03,-55.36,1.000,190.8
14,1.4705e+01,2.3632e+03,-51.24,1.000,193.3
15,1.9484e+01,2.0105e+03,-46.94,1.000,195.5
16,2.5518e+01,1.7500e+03,-42.58,1.000,197.6
17,3.3064e+01,1.5563e+03,-38.30,1.000,199.4
18,4.2416e+01,1.4108e+03,-34.21,1.000,201.0
19,5.3910e+01,1.3010e+03,-30.37,1.000,202.6
20,6.7930e+01,1.2165e+03,-26.86,1.000,203.9
21,8.5407e+01,1.1503e+03,-23.59,1.000,204.7
22,1.0738e+02,1.0984e+03,-20.54,1.000,205.5
23,1.3501e+02,1.0566e+03,-17.78,1.000,206.2
24,1.6974e+02,1.0235e+03,-15.29,1.000,206.6
25,2.1341e+02,9.9678e+02,-13.06,1.000,207.0
26,2.6832e+02,9.7629e+02,-11.12,1.000,207.5
27,3.3735e+02,9.6014e+02,-9.41,1.000,208.0
28,4.2415e+02,9.4746e+02,-7.95,1.000,208.4
29,5.3327e+02,9.3724e+02,-6.68,1.000,208.8
30,6.7047e+02,9.2915e+02,-5.61,1.000,209.2
31,8.4297e+02,9.2259e+02,-4.70,1.000,209.7
32,1.0599e+03,9.1764e+02,-3.93,1.000,210.1
33,1.3325e+03,9.1364e+02,-3.30,1.000,210.5
34,1.6754e+03,9.1011e+02,-2.77,1.000,210.9
35,2.1064e+03,9.0751e+02,-2.32,1.000,211.4
36,2.6483e+03,9.0528e+02,-1.96,1.000,211.8
37,3.3297e+03,9.0358e+02,-1.65,1.000,212.2
38,4.1864e+03,9.0189e+02,-1.39,1.000,212.6
39,5.2634e+03,9.0058e+02,-1.19,1.000,213.1
40,6.6176e+03,8.9970e+02,-1.01,1.000,213.5
41,8.3202e+03,8.9891e+02,-0.90,1.000,213.9
42,1.0461e+04,8.9819e+02,-0.80,1.000,214.4
43,1.3152e+04,8.9771e+02,-0.72,1.000,214.8
44,1.6536e+04,8.9713e+02,-0.73,1.000,215.2
45,2.0790e+04,8.9699e+02,-0.63,1.000,215.7
46,2.6139e+04,8.9584e+02,-0.69,1.000,216.1
47,3.2864e+04,8.9583e+02,-0.62,1.000,216.5
48,4.1320e+04,8.9578e+02,-0.77,1.000,216.9
49,5.1950e+04,8.9541e+02,-0.88,1.000,217.4
50,6.5316e+04,8.9719e+02,-1.01,1.000,217.8
51,8.2120e+04,8.9537e+02,-1.19,1.000,218.2
52,1.0325e+05,8.9716e+02,-1.48,1.000,218.6
53,1.2981e+05,8.9725e+02,-1.84,1.000,219.1
54,1.6321e+05,8.9763e+02,-2.24,1.000,219.5
55,2.0520e+05,8.9997e+02,-2.78,0.999,219.9
56,2.5799e+05,9.0409e+02,-3.56,1.000,220.3
57,3.2437e+05,9.1110e+02,-4.37,0.999,220.8
58,4.0783e+05,9.1592e+02,-5.86,1.000,221.2
59,5.1275e+05,9.2796e+02,-7.88,1.000,222.1
60,6.4467e+05,9.3650e+02,-10.55,1.000,223.6
61,8.1053e+05,9.4613e+02,-14.51,1.000,225.2
62,1.0191e+06,9.3981e+02,-19.66,0.999,226.7
63,1.2813e+06,9.1609e+02,-26.27,0.999,228.1
64,1.6109e+06,8.7238e+02,-34.09,0.998,229.5
65,2.0253e+06,7.9426e+02,-41.99,0.993,230.8
66,2.5464e+06,6.9594e+02,-50.78,0.998,232.0
67,3.2016e+06,6.0764e+02,-56.36,0.999,233.2
68,4.0253e+06,5.0859e+02,-62.64,0.999,234.4
69,5.0609e+06,4.3634e+02,-65.82,0.999,235.8
70,6.3629e+06,3.8008e+02,-68.20,0.998,237.3
71,8.0000e+06,3.6505e+02,-63.41,0.992,239.0
