sep=,
File.......:  dfdf - MAY;04.2023
System.....:  
Potential..:  0.0V; Ampl: 50mV
Current....:  -23.639nA
Temperature:  0.3+-0.9C
Time.......:  11:23:44 - 11:30:23
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.8321e+05,-72.28,0.996,0.0
2,1.5849e-01,1.2531e+05,-72.93,0.996,47.9
3,2.5002e-01,8.6035e+04,-73.20,0.996,83.3
4,3.9094e-01,5.9527e+04,-73.18,0.997,110.4
5,6.0383e-01,4.1649e+04,-72.92,0.996,130.2
6,9.1901e-01,2.9515e+04,-72.46,0.996,145.9
7,1.3761e+00,2.1196e+04,-71.81,0.997,158.0
8,2.0259e+00,1.5477e+04,-70.96,0.997,165.7
9,2.9318e+00,1.1477e+04,-69.80,0.997,173.1
10,4.1726e+00,8.6537e+03,-68.29,0.998,179.2
11,5.8439e+00,6.6345e+03,-66.37,0.998,183.3
12,8.0607e+00,5.1734e+03,-63.98,0.998,186.9
13,1.0960e+01,4.1103e+03,-61.13,0.998,189.8
14,1.4705e+01,3.3301e+03,-57.79,0.998,192.4
15,1.9484e+01,2.7554e+03,-54.04,0.999,194.6
16,2.5518e+01,2.3303e+03,-49.94,0.999,196.6
17,3.3064e+01,2.0152e+03,-45.67,0.999,198.4
18,4.2416e+01,1.7804e+03,-41.38,0.999,200.0
19,5.3910e+01,1.6054e+03,-37.20,1.000,201.6
20,6.7930e+01,1.4725e+03,-33.27,1.000,202.9
21,8.5407e+01,1.3681e+03,-29.55,1.000,203.7
22,1.0738e+02,1.2851e+03,-26.05,1.000,204.2
23,1.3501e+02,1.2198e+03,-22.84,1.000,204.8
24,1.6974e+02,1.1675e+03,-19.87,1.000,205.2
25,2.1341e+02,1.1250e+03,-17.21,1.000,205.6
26,2.6832e+02,1.0920e+03,-14.86,1.000,206.3
27,3.3735e+02,1.0653e+03,-12.78,1.000,207.0
28,4.2415e+02,1.0438e+03,-10.97,1.000,207.4
29,5.3327e+02,1.0266e+03,-9.34,1.000,207.8
30,6.7047e+02,1.0123e+03,-7.97,1.000,208.3
31,8.4297e+02,1.0007e+03,-6.79,1.000,208.7
32,1.0599e+03,9.9118e+02,-5.77,1.000,209.1
33,1.3325e+03,9.8382e+02,-4.93,1.000,209.5
34,1.6754e+03,9.7688e+02,-4.19,1.000,210.0
35,2.1064e+03,9.7171e+02,-3.56,1.000,210.4
36,2.6483e+03,9.6701e+02,-3.07,1.000,210.8
37,3.3297e+03,9.6294e+02,-2.65,1.000,211.2
38,4.1864e+03,9.5946e+02,-2.26,1.000,211.7
39,5.2634e+03,9.5713e+02,-1.93,1.000,212.1
40,6.6176e+03,9.5476e+02,-1.67,1.000,212.5
41,8.3202e+03,9.5313e+02,-1.47,1.000,213.0
42,1.0461e+04,9.5130e+02,-1.28,1.000,213.4
43,1.3152e+04,9.4974e+02,-1.15,1.000,213.8
44,1.6536e+04,9.4910e+02,-1.09,1.000,214.2
45,2.0790e+04,9.4852e+02,-0.97,1.000,214.7
46,2.6139e+04,9.4575e+02,-0.98,1.000,215.1
47,3.2864e+04,9.4663e+02,-0.94,1.000,215.5
48,4.1320e+04,9.4595e+02,-1.01,1.000,216.0
49,5.1950e+04,9.4464e+02,-1.09,1.000,216.4
50,6.5316e+04,9.4443e+02,-1.17,1.000,216.8
51,8.2120e+04,9.4567e+02,-1.39,1.000,217.2
52,1.0325e+05,9.4580e+02,-1.63,1.000,217.7
53,1.2981e+05,9.4587e+02,-1.93,1.000,218.1
54,1.6321e+05,9.4608e+02,-2.46,1.000,218.5
55,2.0520e+05,9.4902e+02,-2.99,1.000,218.9
56,2.5799e+05,9.5260e+02,-3.78,1.000,219.4
57,3.2437e+05,9.5769e+02,-4.69,0.999,219.8
58,4.0783e+05,9.6725e+02,-6.05,1.000,220.2
59,5.1275e+05,9.7646e+02,-8.18,0.999,221.1
60,6.4467e+05,9.8536e+02,-11.01,1.000,222.6
61,8.1053e+05,9.9527e+02,-14.97,1.000,224.2
62,1.0191e+06,9.8822e+02,-20.25,0.999,225.7
63,1.2813e+06,9.6085e+02,-27.01,0.999,227.1
64,1.6109e+06,9.0588e+02,-34.45,0.999,228.5
65,2.0253e+06,8.3242e+02,-42.29,0.994,229.8
66,2.5464e+06,7.3117e+02,-50.69,0.997,231.0
67,3.2016e+06,6.2585e+02,-57.54,0.998,232.2
68,4.0253e+06,5.3171e+02,-62.23,0.998,233.6
69,5.0609e+06,4.4817e+02,-65.44,0.999,234.9
70,6.3629e+06,3.9633e+02,-68.67,0.999,236.4
71,8.0000e+06,3.8268e+02,-72.20,0.996,237.9
