sep=,
File.......:  kcl_1000mm ac50mv dv0 100mhz-500khz - MAY;11.2023
System.....:  KCl_1000mM
Potential..:  0.0V; Ampl: 50mV
Current....:  -1.4273nA
Temperature:  0.4+-1.0C
Time.......:  11:03:17 - 11:09:43
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   59
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.2311e+05,-81.02,0.999,0.0
2,1.5849e-01,8.0890e+04,-81.52,0.999,47.9
3,2.5002e-01,5.3317e+04,-81.82,0.999,83.3
4,3.9094e-01,3.5401e+04,-81.98,0.999,110.4
5,6.0383e-01,2.3782e+04,-81.99,0.998,130.2
6,9.1901e-01,1.6218e+04,-81.93,0.998,149.4
7,1.3761e+00,1.1201e+04,-81.81,0.998,161.5
8,2.0259e+00,7.8695e+03,-81.69,1.000,169.3
9,2.9318e+00,5.6230e+03,-81.50,1.000,175.8
10,4.1726e+00,4.0830e+03,-81.27,1.000,181.0
11,5.8439e+00,3.0114e+03,-81.01,1.000,185.3
12,8.0607e+00,2.2527e+03,-80.71,1.000,188.8
13,1.0960e+01,1.7094e+03,-80.41,1.000,191.7
14,1.4705e+01,1.3139e+03,-80.09,1.000,194.3
15,1.9484e+01,1.0232e+03,-79.76,1.000,197.1
16,2.5518e+01,8.0511e+02,-79.42,1.000,199.6
17,3.3064e+01,6.3998e+02,-79.05,1.000,201.4
18,4.2416e+01,5.1383e+02,-78.66,1.000,203.1
19,5.3910e+01,4.1623e+02,-78.26,1.000,204.6
20,6.7930e+01,3.4008e+02,-77.84,1.000,205.9
21,8.5352e+01,2.7875e+02,-77.37,1.000,206.8
22,1.0724e+02,2.2874e+02,-76.85,1.000,207.3
23,1.3475e+02,1.8784e+02,-76.28,1.000,207.8
24,1.6930e+02,1.5444e+02,-75.64,1.000,208.2
25,2.1273e+02,1.2716e+02,-74.95,1.000,208.7
26,2.6728e+02,1.0476e+02,-74.15,0.999,209.4
27,3.3583e+02,8.6489e+01,-73.26,1.000,210.1
28,4.2196e+02,7.1527e+01,-72.25,1.000,210.5
29,5.3018e+02,5.9290e+01,-71.11,0.999,211.0
30,6.6616e+02,4.9247e+01,-69.81,0.999,211.5
31,8.3701e+02,4.1016e+01,-68.34,0.999,211.9
32,1.0517e+03,3.4262e+01,-66.66,0.999,212.3
33,1.3214e+03,2.8732e+01,-64.74,0.999,212.8
34,1.6603e+03,2.4200e+01,-62.58,1.000,213.2
35,2.0861e+03,2.0500e+01,-60.14,0.998,213.7
36,2.6211e+03,1.7473e+01,-57.41,1.000,214.1
37,3.2933e+03,1.5008e+01,-54.37,0.999,214.5
38,4.1380e+03,1.3004e+01,-51.04,1.000,215.0
39,5.1992e+03,1.1390e+01,-47.46,1.000,215.7
40,6.5327e+03,1.0085e+01,-43.66,1.000,216.4
41,8.2081e+03,9.0422e+00,-39.69,0.999,216.8
42,1.0313e+04,8.2120e+00,-35.68,1.000,217.3
43,1.2958e+04,7.5573e+00,-31.68,1.000,217.7
44,1.6282e+04,7.0432e+00,-27.78,0.999,218.1
45,2.0457e+04,6.6415e+00,-24.09,1.000,218.7
46,2.5704e+04,6.3300e+00,-20.62,1.000,219.1
47,3.2296e+04,6.0879e+00,-17.45,1.000,219.5
48,4.0579e+04,5.9032e+00,-14.55,1.000,220.0
49,5.0986e+04,5.7594e+00,-11.93,1.000,220.4
50,6.4063e+04,5.6493e+00,-9.56,1.000,220.8
51,8.0493e+04,5.5635e+00,-7.41,1.000,221.2
52,1.0114e+05,5.4980e+00,-5.42,1.000,221.7
53,1.2708e+05,5.4499e+00,-3.53,1.000,222.1
54,1.5967e+05,5.4127e+00,-1.68,1.000,222.5
55,2.0062e+05,5.3868e+00,0.17,1.000,222.9
56,2.5207e+05,5.3743e+00,2.18,1.000,223.4
57,3.1671e+05,5.3835e+00,4.44,1.000,223.8
58,3.9794e+05,5.3963e+00,6.76,1.000,224.2
59,5.0000e+05,5.4247e+00,9.54,1.000,225.2
