sep=,
File.......:  kcl_125mm ac50mv dv0 100mhz-8mhz - MAY;11.2023
System.....:  KCl_125mM
Potential..:  0.0V; Ampl: 50mV
Current....:  -3.8597nA
Temperature:  0.3+-0.8C
Time.......:  10:18:30 - 10:25:17
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.2112e+05,-78.75,1.000,0.0
2,1.5849e-01,8.0672e+04,-79.16,1.000,47.9
3,2.5002e-01,5.3893e+04,-79.42,1.000,83.3
4,3.9094e-01,3.6255e+04,-79.55,0.999,110.4
5,6.0383e-01,2.4660e+04,-79.55,0.999,130.2
6,9.1901e-01,1.6985e+04,-79.47,0.998,145.9
7,1.3761e+00,1.1861e+04,-79.33,0.999,160.6
8,2.0259e+00,8.4207e+03,-79.17,1.000,168.4
9,2.9318e+00,6.0767e+03,-78.92,1.000,174.9
10,4.1726e+00,4.4544e+03,-78.60,1.000,180.1
11,5.8439e+00,3.3157e+03,-78.23,1.000,184.4
12,8.0607e+00,2.5028e+03,-77.79,1.000,187.9
13,1.0960e+01,1.9161e+03,-77.32,1.000,190.8
14,1.4705e+01,1.4859e+03,-76.79,1.000,193.4
15,1.9484e+01,1.1662e+03,-76.21,1.000,195.6
16,2.5518e+01,9.2661e+02,-75.57,1.000,198.1
17,3.3064e+01,7.4328e+02,-74.85,1.000,200.5
18,4.2416e+01,6.0236e+02,-74.06,1.000,202.2
19,5.3910e+01,4.9274e+02,-73.19,1.000,203.7
20,6.7930e+01,4.0670e+02,-72.22,1.000,205.0
21,8.5407e+01,3.3693e+02,-71.13,1.000,205.9
22,1.0738e+02,2.7975e+02,-69.90,1.000,206.4
23,1.3501e+02,2.3287e+02,-68.48,1.000,206.9
24,1.6974e+02,1.9444e+02,-66.86,1.000,207.3
25,2.1341e+02,1.6297e+02,-65.04,1.000,207.8
26,2.6832e+02,1.3720e+02,-62.96,0.999,208.2
27,3.3735e+02,1.1612e+02,-60.63,0.999,208.7
28,4.2415e+02,9.8823e+01,-58.03,1.000,209.3
29,5.3327e+02,8.4782e+01,-55.16,1.000,210.0
30,6.7047e+02,7.3344e+01,-52.04,0.999,210.5
31,8.4297e+02,6.4066e+01,-48.68,0.999,210.9
32,1.0599e+03,5.6544e+01,-45.14,1.000,211.4
33,1.3325e+03,5.0480e+01,-41.46,1.000,211.8
34,1.6754e+03,4.5598e+01,-37.70,0.999,212.2
35,2.1064e+03,4.1687e+01,-33.96,1.000,212.7
36,2.6483e+03,3.8566e+01,-30.29,1.000,213.2
37,3.3297e+03,3.6087e+01,-26.76,1.000,213.6
38,4.1864e+03,3.4120e+01,-23.43,1.000,214.0
39,5.2634e+03,3.2570e+01,-20.36,1.000,214.5
40,6.6176e+03,3.1348e+01,-17.55,1.000,214.9
41,8.3202e+03,3.0386e+01,-15.03,1.000,215.3
42,1.0461e+04,2.9634e+01,-12.79,1.000,215.7
43,1.3152e+04,2.9043e+01,-10.83,1.000,216.2
44,1.6536e+04,2.8580e+01,-9.11,1.000,216.6
45,2.0790e+04,2.8214e+01,-7.64,1.000,217.0
46,2.6139e+04,2.7930e+01,-6.36,1.000,217.4
47,3.2864e+04,2.7707e+01,-5.28,1.000,217.9
48,4.1320e+04,2.7532e+01,-4.35,1.000,218.3
49,5.1950e+04,2.7395e+01,-3.54,1.000,218.7
50,6.5316e+04,2.7282e+01,-2.86,1.000,219.2
51,8.2120e+04,2.7195e+01,-2.26,1.000,219.6
52,1.0325e+05,2.7130e+01,-1.73,1.000,220.0
53,1.2981e+05,2.7072e+01,-1.26,1.000,220.4
54,1.6321e+05,2.7033e+01,-0.83,1.000,220.9
55,2.0520e+05,2.7006e+01,-0.41,1.000,221.3
56,2.5799e+05,2.7016e+01,0.08,1.000,221.7
57,3.2437e+05,2.7070e+01,0.61,1.000,222.2
58,4.0783e+05,2.7094e+01,1.06,1.000,223.1
59,5.1275e+05,2.7148e+01,1.55,1.000,224.5
60,6.4467e+05,2.7207e+01,2.06,1.000,226.1
61,8.1053e+05,2.7292e+01,2.61,1.000,227.9
62,1.0191e+06,2.7338e+01,3.55,1.000,229.6
63,1.2813e+06,2.7411e+01,4.64,1.000,231.4
64,1.6109e+06,2.7759e+01,5.86,1.000,233.1
65,2.0253e+06,2.8212e+01,7.30,1.000,234.9
66,2.5464e+06,2.8886e+01,8.95,1.000,236.7
67,3.2016e+06,3.0014e+01,10.46,0.999,238.4
68,4.0253e+06,3.1526e+01,12.19,0.999,240.1
69,5.0609e+06,3.4063e+01,13.19,0.999,241.8
70,6.3629e+06,3.7307e+01,14.32,0.993,243.5
71,8.0000e+06,4.3748e+01,13.92,0.988,245.2
