sep=,
File.......:  kcl_15.625mm ac50mv dv0 100mhz-8mhz - MAY;11.2023
System.....:  KCl_15.625mM
Potential..:  0.0V; Ampl: 50mV
Current....:  -1.9838nA
Temperature:  0.3+-0.9C
Time.......:  09:49:25 - 09:56:07
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.3589e+05,-76.58,0.997,0.0
2,1.5849e-01,9.2125e+04,-76.72,0.998,47.9
3,2.5002e-01,6.2400e+04,-76.65,0.998,83.3
4,3.9094e-01,4.2599e+04,-76.45,0.998,110.4
5,6.0383e-01,2.9432e+04,-76.09,0.998,130.2
6,9.1901e-01,2.0605e+04,-75.65,0.997,145.9
7,1.3761e+00,1.4634e+04,-75.11,0.998,160.6
8,2.0259e+00,1.0572e+04,-74.52,0.998,168.4
9,2.9318e+00,7.7668e+03,-73.78,0.998,174.9
10,4.1726e+00,5.7994e+03,-72.92,0.998,180.1
11,5.8439e+00,4.3988e+03,-71.92,0.998,184.4
12,8.0607e+00,3.3856e+03,-70.75,0.998,187.9
13,1.0960e+01,2.6446e+03,-69.41,0.998,190.8
14,1.4705e+01,2.0949e+03,-67.88,0.998,193.4
15,1.9484e+01,1.6823e+03,-66.12,0.998,195.6
16,2.5518e+01,1.3694e+03,-64.12,0.998,197.6
17,3.3064e+01,1.1296e+03,-61.86,0.998,199.4
18,4.2416e+01,9.4539e+02,-59.38,0.999,201.6
19,5.3910e+01,8.0142e+02,-56.66,0.999,203.7
20,6.7930e+01,6.8866e+02,-53.74,0.999,205.0
21,8.5407e+01,5.9788e+02,-50.57,0.999,205.8
22,1.0738e+02,5.2434e+02,-47.17,0.999,206.3
23,1.3501e+02,4.6480e+02,-43.57,1.000,206.9
24,1.6974e+02,4.1697e+02,-39.87,1.000,207.3
25,2.1341e+02,3.7866e+02,-36.13,1.000,207.7
26,2.6832e+02,3.4804e+02,-32.44,1.000,208.1
27,3.3735e+02,3.2365e+02,-28.87,1.000,208.6
28,4.2415e+02,3.0425e+02,-25.49,1.000,209.0
29,5.3327e+02,2.8883e+02,-22.34,1.000,209.4
30,6.7047e+02,2.7655e+02,-19.45,1.000,209.8
31,8.4297e+02,2.6672e+02,-16.85,1.000,210.3
32,1.0599e+03,2.5887e+02,-14.52,1.000,210.7
33,1.3325e+03,2.5261e+02,-12.47,1.000,211.1
34,1.6754e+03,2.4754e+02,-10.66,1.000,211.6
35,2.1064e+03,2.4349e+02,-9.08,1.000,212.0
36,2.6483e+03,2.4022e+02,-7.72,1.000,212.5
37,3.3297e+03,2.3760e+02,-6.54,1.000,212.9
38,4.1864e+03,2.3541e+02,-5.53,1.000,213.3
39,5.2634e+03,2.3371e+02,-4.66,1.000,213.8
40,6.6176e+03,2.3230e+02,-3.93,1.000,214.2
41,8.3202e+03,2.3119e+02,-3.31,1.000,214.6
42,1.0461e+04,2.3028e+02,-2.78,1.000,215.0
43,1.3152e+04,2.2954e+02,-2.34,1.000,215.5
44,1.6536e+04,2.2900e+02,-1.96,1.000,215.9
45,2.0790e+04,2.2849e+02,-1.64,1.000,216.3
46,2.6139e+04,2.2805e+02,-1.39,1.000,216.8
47,3.2864e+04,2.2771e+02,-1.16,1.000,217.2
48,4.1320e+04,2.2755e+02,-1.00,1.000,217.6
49,5.1950e+04,2.2725e+02,-0.84,1.000,218.0
50,6.5316e+04,2.2706e+02,-0.75,1.000,218.5
51,8.2120e+04,2.2708e+02,-0.66,1.000,218.9
52,1.0325e+05,2.2698e+02,-0.59,1.000,219.3
53,1.2981e+05,2.2686e+02,-0.56,1.000,219.7
54,1.6321e+05,2.2691e+02,-0.53,1.000,220.2
55,2.0520e+05,2.2698e+02,-0.58,1.000,220.6
56,2.5799e+05,2.2749e+02,-0.57,1.000,221.0
57,3.2437e+05,2.2818e+02,-0.54,1.000,221.5
58,4.0783e+05,2.2898e+02,-0.68,1.000,221.9
59,5.1275e+05,2.3013e+02,-1.01,1.000,222.8
60,6.4467e+05,2.3167e+02,-1.42,1.000,224.3
61,8.1053e+05,2.3335e+02,-2.06,1.000,225.9
62,1.0191e+06,2.3413e+02,-2.87,1.000,227.3
63,1.2813e+06,2.3639e+02,-3.95,1.000,228.8
64,1.6109e+06,2.3868e+02,-5.61,1.000,230.2
65,2.0253e+06,2.4075e+02,-7.62,1.000,231.6
66,2.5464e+06,2.4296e+02,-10.57,1.000,233.0
67,3.2016e+06,2.4716e+02,-14.64,0.998,234.3
68,4.0253e+06,2.4496e+02,-19.37,1.000,235.6
69,5.0609e+06,2.4186e+02,-24.05,0.998,237.0
70,6.3629e+06,2.4302e+02,-28.84,0.999,238.5
71,8.0000e+06,2.5760e+02,-33.61,0.999,240.1
