sep=,
File.......:  kcl_250mm ac50mv dv0 100mhz-500khz - MAY;11.2023
System.....:  KCl_250mM
Potential..:  -0.0005V; Ampl: 50mV
Current....:  -1.4224nA
Temperature:  0.3+-0.8C
Time.......:  10:42:45 - 10:49:10
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   59
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.2509e+05,-80.62,1.000,0.0
2,1.5849e-01,8.2440e+04,-80.81,0.999,47.9
3,2.5002e-01,5.4579e+04,-80.84,0.999,83.3
4,3.9094e-01,3.6451e+04,-80.77,0.999,110.4
5,6.0383e-01,2.4649e+04,-80.60,0.998,130.2
6,9.1901e-01,1.6909e+04,-80.35,0.998,145.9
7,1.3761e+00,1.1775e+04,-80.07,0.998,160.6
8,2.0259e+00,8.3377e+03,-79.80,0.999,168.4
9,2.9318e+00,6.0063e+03,-79.46,0.999,174.9
10,4.1726e+00,4.3974e+03,-79.09,1.000,180.1
11,5.8439e+00,3.2705e+03,-78.71,1.000,184.4
12,8.0607e+00,2.4672e+03,-78.29,0.999,187.9
13,1.0960e+01,1.8877e+03,-77.88,0.999,190.8
14,1.4705e+01,1.4631e+03,-77.45,1.000,193.4
15,1.9484e+01,1.1477e+03,-77.01,0.999,195.6
16,2.5518e+01,9.1132e+02,-76.55,1.000,198.1
17,3.3064e+01,7.3027e+02,-76.06,1.000,200.5
18,4.2416e+01,5.9101e+02,-75.55,1.000,202.2
19,5.3910e+01,4.8252e+02,-75.01,1.000,203.7
20,6.7930e+01,3.9735e+02,-74.45,1.000,205.0
21,8.5352e+01,3.2829e+02,-73.82,1.000,205.9
22,1.0724e+02,2.7160e+02,-73.14,1.000,206.4
23,1.3475e+02,2.2497e+02,-72.36,1.000,206.9
24,1.6930e+02,1.8661e+02,-71.49,1.000,207.3
25,2.1273e+02,1.5510e+02,-70.51,1.000,207.8
26,2.6728e+02,1.2913e+02,-69.40,1.000,208.2
27,3.3583e+02,1.0768e+02,-68.16,1.000,208.9
28,4.2196e+02,9.0092e+01,-66.72,0.999,209.6
29,5.3018e+02,7.5618e+01,-65.11,1.000,210.1
30,6.6616e+02,6.3698e+01,-63.28,0.999,210.5
31,8.3701e+02,5.3894e+01,-61.20,0.999,211.0
32,1.0517e+03,4.5837e+01,-58.87,0.999,211.4
33,1.3214e+03,3.9232e+01,-56.27,1.000,211.8
34,1.6603e+03,3.3827e+01,-53.41,1.000,212.3
35,2.0861e+03,2.9418e+01,-50.30,1.000,212.7
36,2.6211e+03,2.5828e+01,-46.96,0.999,213.2
37,3.2933e+03,2.2916e+01,-43.44,0.999,213.6
38,4.1380e+03,2.0563e+01,-39.81,1.000,214.0
39,5.1992e+03,1.8668e+01,-36.13,0.999,214.5
40,6.5327e+03,1.7148e+01,-32.48,0.999,215.0
41,8.2081e+03,1.5930e+01,-28.92,1.000,215.4
42,1.0313e+04,1.4959e+01,-25.51,1.000,215.8
43,1.2958e+04,1.4186e+01,-22.30,1.000,216.3
44,1.6282e+04,1.3574e+01,-19.32,1.000,216.7
45,2.0457e+04,1.3086e+01,-16.60,1.000,217.1
46,2.5704e+04,1.2706e+01,-14.14,1.000,217.6
47,3.2296e+04,1.2406e+01,-11.93,1.000,218.0
48,4.0579e+04,1.2172e+01,-9.96,1.000,218.4
49,5.0986e+04,1.1988e+01,-8.23,1.000,218.8
50,6.4063e+04,1.1844e+01,-6.69,1.000,219.3
51,8.0493e+04,1.1732e+01,-5.33,1.000,219.7
52,1.0114e+05,1.1645e+01,-4.09,1.000,220.1
53,1.2708e+05,1.1575e+01,-2.97,1.000,220.6
54,1.5967e+05,1.1523e+01,-1.96,1.000,221.3
55,2.0062e+05,1.1478e+01,-0.96,1.000,222.4
56,2.5207e+05,1.1454e+01,0.12,1.000,223.1
57,3.1671e+05,1.1459e+01,1.34,1.000,223.5
58,3.9794e+05,1.1454e+01,2.44,1.000,223.9
59,5.0000e+05,1.1455e+01,3.76,1.000,224.9
