sep=,
File.......:  kcl_3.906mm ac50mv dv0 100mhz-8mhz - MAY;11.2023
System.....:  KCl_3.906mM
Potential..:  0.0V; Ampl: 50mV
Current....:  30.014nA
Temperature:  0.2+-0.6C
Time.......:  09:29:03 - 09:35:44
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.1475e+05,-68.90,0.983,0.0
2,1.5849e-01,8.0461e+04,-72.15,0.993,47.9
3,2.5002e-01,5.5429e+04,-72.98,0.996,83.3
4,3.9094e-01,3.8372e+04,-73.11,0.997,110.4
5,6.0383e-01,2.6825e+04,-72.79,0.997,130.2
6,9.1901e-01,1.9020e+04,-72.24,0.997,145.9
7,1.3761e+00,1.3678e+04,-71.43,0.998,160.6
8,2.0259e+00,1.0000e+04,-70.37,0.998,168.3
9,2.9318e+00,7.4397e+03,-68.97,0.998,174.9
10,4.1726e+00,5.6309e+03,-67.22,0.998,180.1
11,5.8439e+00,4.3382e+03,-65.06,0.998,184.3
12,8.0607e+00,3.4027e+03,-62.44,0.998,187.9
13,1.0960e+01,2.7219e+03,-59.39,0.999,190.8
14,1.4705e+01,2.2219e+03,-55.92,0.999,193.3
15,1.9484e+01,1.8524e+03,-52.10,0.999,195.5
16,2.5518e+01,1.5781e+03,-48.01,0.999,197.6
17,3.3064e+01,1.3735e+03,-43.77,0.999,199.4
18,4.2416e+01,1.2203e+03,-39.53,1.000,201.0
19,5.3910e+01,1.1058e+03,-35.43,1.000,203.1
20,6.7930e+01,1.0189e+03,-31.54,1.000,204.9
21,8.5407e+01,9.5113e+02,-27.82,1.000,205.8
22,1.0738e+02,8.9786e+02,-24.35,1.000,206.3
23,1.3501e+02,8.5613e+02,-21.15,1.000,206.8
24,1.6974e+02,8.2315e+02,-18.25,1.000,207.2
25,2.1341e+02,7.9740e+02,-15.69,1.000,207.6
26,2.6832e+02,7.7688e+02,-13.41,1.000,208.1
27,3.3735e+02,7.6056e+02,-11.43,1.000,208.5
28,4.2415e+02,7.4755e+02,-9.72,1.000,208.9
29,5.3327e+02,7.3721e+02,-8.23,1.000,209.3
30,6.7047e+02,7.2892e+02,-6.96,1.000,209.8
31,8.4297e+02,7.2213e+02,-5.88,1.000,210.2
32,1.0599e+03,7.1672e+02,-4.95,1.000,210.6
33,1.3325e+03,7.1224e+02,-4.17,1.000,211.1
34,1.6754e+03,7.0863e+02,-3.51,1.000,211.5
35,2.1064e+03,7.0570e+02,-2.95,1.000,211.9
36,2.6483e+03,7.0328e+02,-2.48,1.000,212.3
37,3.3297e+03,7.0134e+02,-2.09,1.000,212.8
38,4.1864e+03,6.9965e+02,-1.76,1.000,213.2
39,5.2634e+03,6.9837e+02,-1.49,1.000,213.6
40,6.6176e+03,6.9723e+02,-1.26,1.000,214.0
41,8.3202e+03,6.9639e+02,-1.08,1.000,214.5
42,1.0461e+04,6.9561e+02,-0.93,1.000,214.9
43,1.3152e+04,6.9505e+02,-0.81,1.000,215.3
44,1.6536e+04,6.9490e+02,-0.71,1.000,215.8
45,2.0790e+04,6.9431e+02,-0.65,1.000,216.2
46,2.6139e+04,6.9341e+02,-0.64,1.000,216.6
47,3.2864e+04,6.9402e+02,-0.56,1.000,217.0
48,4.1320e+04,6.9299e+02,-0.65,1.000,217.5
49,5.1950e+04,6.9277e+02,-0.66,1.000,217.9
50,6.5316e+04,6.9288e+02,-0.69,1.000,218.3
51,8.2120e+04,6.9285e+02,-0.84,1.000,218.8
52,1.0325e+05,6.9330e+02,-0.97,1.000,219.2
53,1.2981e+05,6.9338e+02,-1.18,1.000,219.6
54,1.6321e+05,6.9402e+02,-1.46,1.000,220.0
55,2.0520e+05,6.9589e+02,-1.80,1.000,220.5
56,2.5799e+05,6.9737e+02,-2.13,1.000,220.9
57,3.2437e+05,7.0226e+02,-2.67,1.000,221.3
58,4.0783e+05,7.0723e+02,-3.58,1.000,221.7
59,5.1275e+05,7.1414e+02,-4.91,1.000,222.7
60,6.4467e+05,7.2199e+02,-6.71,1.000,224.2
61,8.1053e+05,7.3055e+02,-9.34,1.000,225.7
62,1.0191e+06,7.3485e+02,-12.75,0.999,227.2
63,1.2813e+06,7.3074e+02,-17.59,0.999,228.6
64,1.6109e+06,7.1463e+02,-23.36,0.998,230.0
65,2.0253e+06,6.8438e+02,-30.09,0.998,231.4
66,2.5464e+06,6.4135e+02,-37.51,0.998,232.7
67,3.2016e+06,5.7445e+02,-44.57,0.999,233.9
68,4.0253e+06,5.0582e+02,-50.25,0.999,235.3
69,5.0609e+06,4.4251e+02,-56.18,1.000,236.7
70,6.3629e+06,4.0071e+02,-59.21,0.999,238.3
71,8.0000e+06,3.8551e+02,-62.00,0.998,239.9
