sep=,
File.......:  kcl_62.5mm ac50mv dv0 100mhz-8mhz - MAY;11.2023
System.....:  KCl_62.5mM
Potential..:  0.0V; Ampl: 50mV
Current....:  -477.34pA
Temperature:  0.3+-0.8C
Time.......:  10:08:56 - 10:15:40
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples
Lines:   71
Columns: 5
Number,Frequency/Hz,impedance/Ohm,Phase/deg,Significance,Time/s
1,1.0000e-01,1.1850e+05,-77.79,0.999,0.0
2,1.5849e-01,7.9423e+04,-78.24,0.999,47.9
3,2.5002e-01,5.3353e+04,-78.51,0.999,83.3
4,3.9094e-01,3.6079e+04,-78.66,0.999,110.4
5,6.0383e-01,2.4651e+04,-78.66,0.998,130.2
6,9.1901e-01,1.7058e+04,-78.59,0.998,145.9
7,1.3761e+00,1.1956e+04,-78.46,0.999,160.6
8,2.0259e+00,8.5173e+03,-78.29,1.000,168.4
9,2.9318e+00,6.1662e+03,-78.01,1.000,174.9
10,4.1726e+00,4.5334e+03,-77.65,1.000,180.1
11,5.8439e+00,3.3836e+03,-77.21,1.000,184.4
12,8.0607e+00,2.5608e+03,-76.67,1.000,187.9
13,1.0960e+01,1.9655e+03,-76.04,1.000,190.8
14,1.4705e+01,1.5281e+03,-75.33,1.000,193.4
15,1.9484e+01,1.2026e+03,-74.50,1.000,195.6
16,2.5518e+01,9.5848e+02,-73.55,1.000,198.1
17,3.3064e+01,7.7151e+02,-72.46,1.000,200.5
18,4.2416e+01,6.2778e+02,-71.22,1.000,202.2
19,5.3910e+01,5.1598e+02,-69.84,1.000,203.7
20,6.7930e+01,4.2844e+02,-68.28,1.000,205.0
21,8.5407e+01,3.5756e+02,-66.50,1.000,205.9
22,1.0738e+02,2.9969e+02,-64.46,1.000,206.4
23,1.3501e+02,2.5244e+02,-62.14,1.000,206.9
24,1.6974e+02,2.1396e+02,-59.54,1.000,207.3
25,2.1341e+02,1.8270e+02,-56.64,1.000,207.7
26,2.6832e+02,1.5734e+02,-53.46,0.999,208.2
27,3.3735e+02,1.3682e+02,-50.02,0.999,208.7
28,4.2415e+02,1.2028e+02,-46.36,1.000,209.1
29,5.3327e+02,1.0693e+02,-42.55,1.000,209.8
30,6.7047e+02,9.6298e+01,-38.66,0.999,210.5
31,8.4297e+02,8.7826e+01,-34.75,0.999,210.9
32,1.0599e+03,8.1112e+01,-30.92,1.000,211.4
33,1.3325e+03,7.5814e+01,-27.25,1.000,211.8
34,1.6754e+03,7.1621e+01,-23.80,0.999,212.2
35,2.1064e+03,6.8358e+01,-20.59,1.000,212.7
36,2.6483e+03,6.5811e+01,-17.69,1.000,213.1
37,3.3297e+03,6.3834e+01,-15.09,1.000,213.5
38,4.1864e+03,6.2287e+01,-12.79,1.000,213.9
39,5.2634e+03,6.1096e+01,-10.80,1.000,214.4
40,6.6176e+03,6.0159e+01,-9.07,1.000,214.8
41,8.3202e+03,5.9437e+01,-7.59,1.000,215.2
42,1.0461e+04,5.8875e+01,-6.33,1.000,215.7
43,1.3152e+04,5.8440e+01,-5.26,1.000,216.1
44,1.6536e+04,5.8101e+01,-4.35,1.000,216.5
45,2.0790e+04,5.7826e+01,-3.60,1.000,217.0
46,2.6139e+04,5.7616e+01,-2.96,1.000,217.4
47,3.2864e+04,5.7448e+01,-2.44,1.000,217.8
48,4.1320e+04,5.7326e+01,-1.99,1.000,218.3
49,5.1950e+04,5.7230e+01,-1.62,1.000,218.7
50,6.5316e+04,5.7136e+01,-1.30,1.000,219.1
51,8.2120e+04,5.7078e+01,-1.04,1.000,219.5
52,1.0325e+05,5.7027e+01,-0.80,1.000,219.9
53,1.2981e+05,5.6987e+01,-0.61,1.000,220.4
54,1.6321e+05,5.6961e+01,-0.42,1.000,220.8
55,2.0520e+05,5.6959e+01,-0.25,1.000,221.2
56,2.5799e+05,5.7022e+01,-0.03,1.000,221.6
57,3.2437e+05,5.7164e+01,0.23,1.000,222.1
58,4.0783e+05,5.7253e+01,0.38,1.000,222.6
59,5.1275e+05,5.7390e+01,0.51,1.000,223.7
60,6.4467e+05,5.7544e+01,0.61,1.000,225.3
61,8.1053e+05,5.7753e+01,0.62,1.000,226.9
62,1.0191e+06,5.7830e+01,0.90,1.000,228.6
63,1.2813e+06,5.7942e+01,1.16,1.000,230.2
64,1.6109e+06,5.8514e+01,1.35,1.000,231.8
65,2.0253e+06,5.9274e+01,1.63,1.000,233.5
66,2.5464e+06,6.0264e+01,1.62,1.000,235.1
67,3.2016e+06,6.1845e+01,1.26,1.000,236.7
68,4.0253e+06,6.3807e+01,0.74,1.000,238.3
69,5.0609e+06,6.6501e+01,-0.58,0.999,239.9
70,6.3629e+06,7.0094e+01,-2.08,0.998,241.4
71,8.0000e+06,7.8423e+01,-4.68,0.992,243.1
