Metarial,Concentration [mM],Conductivity [uS/cm],Ohmic Resistence Freq [Hz],Impedance [Ohm],Phase [°],DC [V],AC [V],Sweep Range Start [Hz] ,Sweep Range End [Hz]
KCl,1,178.2,1.05E+04,1.08E+04,-2.75,0,50m,100m,8M
KCl,2,264.2,1.65E+04,7.37E+03,-2.21,0,50m,100m,8M
KCl,1.953125,379,1.65E+04,5.63E+03,-1.88,0,50m,100m,8M
KCl,0.9765625,408,2.08E+04,5.38E+03,-1.56,0,50m,100m,8M
KCl,3,425.4,1.65E+04,4.95E+03,-1.32,0,50m,100m,8M
KCl,3.90625,720.1,3.29E+04,3.00E+03,-1.09,0,50m,100m,8M
KCl,6,875.9,5.20E+04,2.45E+03,-0.94,0,50m,100m,8M
KCl,7.8125,1405.9,8.21E+04,1.58E+03,-0.56,0,50m,100m,8M
KCl,15.625,2515,1.03E+05,8.90E+02,-1.46,0,50m,100m,8M
KCl,31.25,4782.1,2.58E+05,4.57E+02,-1.6,0,50m,100m,8M
KCl,62.5,8948.5,4.08E+05,2.46E+02,-1.16,0,50m,100m,8M
KCl,125,16910.8,5.13E+05,1.28E+02,-0.54,0,50m,100m,8M
KCl,250,30625,6.45E+05,7.32E+01,-1.03,0,50m,100m,500k
KCl,500,58360.2,1.02E+06,3.81E+01,0.04,0,50m,100m,500k
KCl,1000,107091,5.00E+05,2.13E+01,-1.49,0,50m,100m,500k
