Metarial,Concentration [mM],Conductivity [uS/cm],Ohmic Resistence Freq [Hz],Impedance [Ohm],Phase [°],DC [V],AC [V],Sweep Range Start [Hz] ,Sweep Range End [Hz]
KCl,1,178.2,1.65E+04,2.07E+03,-0.39,0,50m,100m,8M
KCl,2,264.2,2.08E+04,1.48E+03,-0.32,0,50m,100m,8M
KCl,1.953125,379,3.29E+04,1.39E+03,-0.13,0,50m,100m,8M
KCl,0.9765625,408,3.29E+04,9.47E+02,-0.94,0,50m,100m,8M
KCl,3,425.4,3.29E+04,8.96E+02,-0.62,0,50m,100m,8M
KCl,3.90625,720.1,3.29E+04,6.94E+02,-0.56,0,50m,100m,8M
KCl,6,875.9,4.13E+04,4.38E+02,-0.59,0,50m,100m,8M
KCl,7.8125,1405.9,8.21E+04,3.76E+02,-0.64,0,50m,100m,8M
KCl,15.625,2515,1.63E+05,2.27E+02,-0.53,0,50m,100m,8M
KCl,31.25,4782.1,4.08E+05,8.42E+01,-0.12,0,50m,100m,8M
KCl,62.5,8948.5,2.58E+05,5.70E+01,-0.03,0,50m,100m,8M
KCl,125,16910.8,2.58E+05,2.70E+01,0.08,0,50m,100m,8M
KCl,250,30625,2.52E+05,1.15E+01,0.12,0,50m,100m,500k
KCl,500,58360.2,2.01E+05,6.49E+00,-0.57,0,50m,100m,500k
KCl,1000,107091,2.01E+05,5.39E+00,0.17,0,50m,100m,500k
