Metarial,Concentration [mM],Conductivity [uS/cm],Ohmic Resistence Freq [Hz],Real Part [Ohm],Im Part [Ohm],Impedance [Ohm],DC [V],AC [V],Sweep Range Start [Hz] ,Sweep Range End [Hz]
KCl,1,182.364,6.62E+03,1.19E+04,-2.83E+02,1.19E+04,0,50m,100m,8M
KCl,1.5,231.72,1.05E+04,9.53E+03,-2.33E+02,9.54E+03,0,50m,100m,8M
KCl,2,269.437,1.65E+04,8.15E+03,-1.92E+02,8.15E+03,0,50m,100m,8M
KCl,1.953125,380.668,2.08E+04,5.63E+03,-1.19E+02,5.63E+03,0,50m,100m,8M
KCl,2.5,390.466,1.65E+04,5.61E+03,-1.34E+02,5.62E+03,0,50m,100m,8M
KCl,0.9765625,415.525,2.08E+04,5.51E+03,-1.10E+02,5.51E+03,0,50m,100m,8M
KCl,3,429.841,2.61E+04,5.01E+03,-1.04E+02,5.02E+03,0,50m,100m,8M
KCl,3.5,533.061,2.61E+04,4.04E+03,-9.42E+01,4.04E+03,0,50m,100m,8M
KCl,3.90625,714.069,4.13E+04,2.99E+03,-7.67E+01,2.99E+03,0,50m,100m,8M
KCl,6,880.838,6.53E+04,2.42E+03,-4.43E+01,2.42E+03,0,50m,100m,8M
KCl,7.8125,1393.74,6.98E+04,1.51E+03,-1.69E+01,1.51E+03,0,50m,100Hz,8M
KCl,15.625,2492.58,9.98E+04,8.57E+02,-2.54E+01,8.57E+02,0,50m,100Hz,4M
KCl,31.25,4752.57,2.67E+05,4.44E+02,-1.16E+01,4.44E+02,0,50m,100Hz,4M
KCl,62.5,9020.34,4.20E+05,2.39E+02,-4.99E+00,2.39E+02,0,50m,100Hz,4M
KCl,125,16845.8,1.03E+06,1.28E+02,-1.42E+00,1.28E+02,0,50m,100Hz,4M
KCl,250,30806.6,1.30E+06,6.99E+01,-2.16E+00,6.99E+01,0,50m,100Hz,4M
KCl,500,58713.4,1.03E+06,3.66E+01,2.19E-01,3.66E+01,0,50m,100Hz,4M
KCl,1000,108960,7.00E+05,2.00E+01,1.92E-02,2.00E+01,0,50m,100Hz,700k
